NAME,AtlasName,AtlasNum,LOCATION,PercentPolygyny
Onge,ACHOMAWI.,525,Andaman Islands,0
Jarwa,,0,Andaman Islands,0
Mrabri,ALSEA . .,511,Thailand,0
Ket,,,Russia,0
Bayaka,CARIBOUES,484,Congo,0
Tubatulabal,KAROK . .,517,California,0
Wappo,KUBU. . .,1114,California,0
Dorobo (Okiek),CHINOOK .,481,Kenya,0.5
Polar Inuit,,,Greenland,0.5
Agta (Isahela),ALACALUF.,396,Philippines,2
Birhor,,,India,2
Chono,BORORO. .,97,Chile,2
Ko,CHUMASH .,543,Botswana,2
Serrano,,,California,2
Karankawa,,,Texas,2
Kobuk Inuit,WHITEKNIF,585,Alaska,2
Point Hope Inuit,YAHGAN. .,94,Alaska,2
Semang,AINU. . .,325,Malaysia,3
Chenchu,ALEUT . .,458,India,3
Yukaghir,ATSUGEWI.,272,Russia,3
Siberian Eskimo,AWEIKOMA.,199,Russia,3
Guahibo,,,Colombia,3
Heta,BLACKFOOT,619,Brazil,3
Yahgan,CAHUILLA.,546,Argentina,3
Hadza,CHIMARIKO,516,Tanzania,3
/Auni Khomani,,,South Africa,3
Kiliwa,KAIBAB. .,595,Mexico,3
Mattole,,,California,3
Yuki (Proper),,,California,3
Yuki (Coast),KUTENAI .,380,California,3
Kawaiisushoshoni,,,California,3
Chilcotin,,,British Columbia,3
Han,UNCOMPAHG,604,Yukon,3
Ingalik,,,Alaska,3
Rupert House Cree,WAPPO . .,535,Quebec,3
Aivilingmiut Inuit,YARURO. .,89,Northwest Territories,3
Baffin Island Inuit,YIRYORONT,1206,Northwest Territories,3
Utkuhikhalingmiut,YANA. . .,526,Northwest Territories,3.1
Antarianunts Southern Paiute,MISTASSIN,1182,Colorado,3.5
Punan,,,Indonesia,4
Paliyans,,0,India,4
Yuqui,,,Bolivia,4
Tehuelche,BOHOGUE .,587,Argentina,4
Alacaluf,BOTOCUDO.,299,Chile,4
Bambote,CARRIER .,468,Zaire,4
Nharo,,,Botswana,4
Wukchumi,KARIERA .,256,California,4
Hupa,LAKEYOKUT,539,California,4
Yurok,,,California,4
Owens Valley Paiute,MIWOK . .,273,California,4
Kutchin,VEDDA . .,145,Yukon,4
Dogrib,,,Northwest Territories,4
Norton Sound Inuit,,,Alaska,4
Yavapai,MBUTI . .,202,Arizona,4.5
Walapai,,,Arizona,4.5
Batek,,,Philippines,5
Veddah,,0,Sri Lanka,5
Agta (Casiguran),,,Philippines,5
Orogens,ARANDA. .,56,China,5
Bororo,,,Brazil,5
Aka,,,Congo,5
Luiseno,KARANKAWA,623,California,5
Wintu,KILIWA. .,549,California,5
Modoc,LUMMI . .,477,Oregon,5
Panamintshoshoni,MATTOLE .,521,California,5
Fish Lake Paiute,,,Nevada,5
Tahitan,TWANA . .,71,British Columbia,5
Hare,,,Northwest Territories,5
Attawapiskat Cree,,,Ontario,5
Mackenzie Inuit,,,Northwest Territories,5
West Greenland,,,Greenland,5
Gilyak,ASSINIBOI,618,Russia,5.3
Copper Inuit,,,Northwest Territories,5.6
Kadar,,,India,6
Ainu (Hokkaido),ARAPAHO .,616,Japan,6
Guayaki (Ache),BELLACOOL,471,Paraguay,6
Twana,,,Washington,6
Makah,,,Washington,6
Kaska,TUTUTNI .,514,British Columbia,6
Netsilik Inuit,YUKAGHIR.,236,Northwest Territories,6.3
Washo,,,Nevada,6.6
Shompen,,,Nicobar Islands,7
