rs,age
0,60
1,60
1,60
1,60
2,60
2,60
2,60
2,60
2,60
2,60
2,60
2,60
2,60
2,60
2,60
2,60
3,60
3,60
3,60
3,60
3,60
3,60
3,60
3,60
4,60
4,60
4,60
4,60
4,60
4,60
4,60
5,60
5,60
5,60
5,60
5,60
5,60
5,60
5,60
5,60
5,60
5,60
5,60
5,60
5,60
5,60
6,60
6,60
6,60
6,60
6,60
6,60
6,60
6,60
6,60
6,60
6,60
6,60
6,60
6,60
6,60
6,60
7,60
7,60
7,60
7,60
7,60
7,60
7,60
7,60
7,60
7,60
8,60
8,60
8,60
8,60
8,60
8,60
9,60
10,60
10,60
3,60
3,60
6,60
4,60
5,60
5,60
6,60
8,60
5,60
5,60
6,60
6,60
7,60
7,60
9,60
6,60
6,60
6,60
7,60
9,60
7,60
7,60
7,60
7,60
7,60
8,60
8,60
9,60
9,60
10,60
10,60
12,60
10,60
