rs,age
3,66
12,61
0,20
3,45
4,34
4,34
10,59
10,55
6,47
5,61
12,63
10,71
9,59
4,42
2,22
2,22
0,45
6,45
6,45
8,63
2,26
5,46
4,50
7,65
0,20
1,21
3,47
3,27
3,40
9,57
9,57
3,34
3,34
5,36
5,36
5,53
0,32
2,28
2,28
8,46
8,46
0,26
0,19
10,69
10,47
6,43
2,32
2,22
3,34
3,34
3,38
3,28
3,36
0,19
6,57
6,57
0,57
0,28
0,30
0,21
5,33
5,33
4,31
4,31
9,43
0,25
3,23
4,27
0,18
5,28
5,28
0,26
0,22
0,23
0,36
1,34
0,23
0,20
4,47
2,23
1,24
1,24
0,30
0,28
0,28
5,69
1,56
1,50
0,46
0,46
3,34
3,34
3,78
2,24
4,28
5,47
6,37
0,40
0,38
7,36
7,36
0,34
0,32
1,25
3,37
11,46
11,46
2,28
2,28
7,37
7,37
2,29
3,37
3,37
1,33
0,28
0,40
3,39
3,39
2,47
2,47
4,45
0,18
0,44
0,32
0,32
6,53
0,35
0,18
1,18
1,18
1,18
0,19
0,19
2,32
3,27
0,33
0,34
0,34
0,29
2,24
0,19
5,29
4,35
3,23
3,23
0,22
1,32
5,42
0,27
0,40
0,18
6,48
0,19
0,20
0,20
0,18
0,43
0,25
1,21
1,21
0,18
0,19
0,18
2,40
0,31
0,29
0,21
0,24
0,24
0,23
0,19
