age,rs
60,8
29,2
21,0
14,0
18,0
46,8
14,0
51,9
30,2
17,1
18,0
14,0
13,0
54,6
21,0
31,2
52,7
19,0
14,0
33,3
12,0
30,4
54,8
26,0
22,0
21,0
15,0
15,0
13,0
72,5
50,7
33,2
55,5
31,4
28,2
49,8
24,1
25,0
15,0
13,0
51,8
46,2
64,7
16,0
38,4
22,0
13,0
24,3
47,0
43,4
50,8
30,0
24,0
20,0
43,5
19,0
16,0
73,6
22,2
28,3
49,9
31,2
18,0
13,0
12,0
49,9
20,0
34,4
15,0
13,0
53,9
20,0
16,0
57,9
19,0
47,3
56,6
37,7
15,0
45,6
18,0
15,0
13,0
77,8
18,0
35,3
14,0
17,0
33,5
22,0
15,0
48,8
21,0
18,0
16,0
67,6
35,2
65,8
33,1
30,1
28,1
65,6
41,4
18,0
16,0
16,0
44,8
84,4
37,0
45,7
44,1
34,4
32,2
39,6
19,0
16,0
14,0
37,1
41,5
21,0
19,0
13,0
53,8
18,0
12,0
61,7
31,2
25,1
32,3
59,9
40,3
37,5
20,0
20,0
22,0
12,0
32,4
14,0
60,7
36,2
68,9
23,1
70,2
47,4
15,0
47,6
19,0
81,10
42,5
17,0
23,1
15,0
13,0
50,6
17,0
17,0
68,6
50,2
27,2
22,0
33,2
76,7
64,5
63,5
36,0
28,2
40,6
21,0
20,0
17,0
13,0
16,0
23,0
36,5
14,0
52,10
33,1
27,1
19,0
33,4
37,5
21,0
16,0
34,4
13,0
50,6
27,3
19,0
22,0
66,9
27,1
12,0
78,7
27,2
16,0
54,5
16,0
68,8
34,0
63,6
32,2
37,6
22,0
54,8
16,0
14,0
34,3
34,3
13,0
19,0
46,2
13,0
22,1
56,5
37,5
62,8
26,2
16,0
48,8
22,0
67,1
37,6
25,2
23,0
19,0
67,7
38,2
36,2
30,1
17,0
30,2
57,5
40,4
84,9
43,4
13,0
51,7
28,0
23,1
20,0
18,0
13,0
44,2
33,5
65,4
12,0
24,0
54,6
28,2
21,0
15,0
38,1
53,9
45,0
67,4
48,1
40,3
14,0
15,0
63,10
22,1
30,0
29,2
58,3
31,0
59,2
19,0
16,0
68,6
16,0
61,8
70,4
41,4
30,0
21,0
62,4
49,5
31,2
71,9
14,0
42,2
28,0
72,7
66,12
29,0
12,0
46,7
17,0
13,0
53,0
53,1
44,7
24,0
19,0
62,8
39,5
19,0
15,0
21,1
51,9
46,6
58,5
68,4
61,6
35,3
35,4
14,0
33,3
80,5
55,6
61,4
50,8
14,0
30,3
14,0
66,8
18,1
46,3
36,0
78,6
22,0
29,2
14,0
57,3
32,2
14,0
15,0
62,9
27,0
17,0
25,1
14,0
31,2
39,5
72,6
31,2
14,0
77,9
30,2
58,0
35,4
87,7
49,4
30,2
37,8
19,0
58,7
41,2
34,3
14,0
69,5
36,4
24,0
82,7
