rs,age
0,17
0,19
0,20
1,21
1,22
2,24
6,24
0,25
1,25
1,27
1,28
4,28
3,28
6,29
7,29
3,31
2,32
5,32
3,34
0,34
3,34
0,35
0,36
3,36
5,36
0,37
0,37
0,37
0,38
0,38
6,39
5,39
0,39
8,40
0,40
0,40
0,40
0,40
0,40
1,40
0,40
1,41
0,41
0,41
4,41
0,41
1,42
0,42
1,42
1,42
0,43
0,43
1,43
5,43
0,43
0,43
4,43
0,43
1,43
0,44
0,44
2,44
0,44
7,44
3,44
4,45
1,45
3,45
5,45
0,45
3,45
3,45
0,45
0,45
0,45
0,45
8,46
7,46
4,46
0,46
2,46
1,46
0,46
1,46
0,47
5,47
0,47
2,47
2,47
0,47
0,47
3,47
1,47
2,47
4,47
0,47
2,47
3,48
0,48
1,48
2,48
4,48
1,48
2,48
1,48
0,48
3,49
4,49
5,49
4,49
3,49
2,49
2,49
1,49
2,49
4,49
1,49
0,49
0,49
3,49
2,49
0,50
7,50
4,50
4,50
4,50
2,50
0,50
1,50
3,50
3,51
2,51
0,51
4,51
3,51
5,51
5,51
5,51
3,51
2,51
8,52
9,53
0,53
0,53
5,53
0,53
0,53
2,53
0,53
5,53
3,53
6,53
0,54
5,54
1,54
2,54
4,54
0,54
6,55
5,55
6,56
0,56
2,56
7,56
4,57
7,57
3,57
5,57
6,57
2,57
6,57
0,57
0,57
7,57
9,57
4,57
1,57
3,57
4,57
0,57
5,57
7,58
5,58
3,58
4,59
1,59
6,59
8,59
2,59
6,59
6,59
3,60
1,60
1,60
6,60
4,60
0,60
0,60
6,60
6,60
6,60
6,61
5,61
0,61
6,61
5,61
1,62
4,62
2,62
7,62
3,62
0,62
5,63
4,63
7,63
6,63
0,63
7,63
7,63
0,63
9,63
6,63
4,64
0,64
0,64
2,65
9,65
0,65
6,65
5,65
3,65
0,65
3,65
9,65
0,65
4,65
8,66
0,66
7,66
8,67
0,67
5,67
0,67
2,67
3,67
0,67
4,67
0,67
6,68
8,68
7,68
6,68
0,69
2,69
1,69
0,69
0,69
8,69
7,69
0,69
0,69
10,69
0,69
0,69
0,69
0,70
7,70
5,70
10,70
4,70
0,70
6,71
0,71
6,71
0,71
3,71
9,71
8,71
8,71
0,71
7,71
0,71
0,71
0,71
5,72
5,72
0,72
0,72
6,72
0,72
0,72
8,72
0,72
0,72
4,72
2,73
8,73
0,73
0,73
8,73
7,73
8,73
0,73
1,73
5,73
2,73
0,73
0,73
0,73
7,73
4,74
0,74
0,74
4,74
0,74
8,74
0,74
3,74
5,75
0,75
5,75
4,75
0,76
1,76
8,76
8,76
1,76
4,76
7,76
0,76
0,76
0,76
0,76
0,76
0,77
3,77
0,77
1,77
1,77
0,77
0,77
5,78
5,78
2,78
4,78
3,78
3,78
4,79
8,79
3,79
0,79
4,79
0,79
0,79
0,79
0,79
0,79
4,79
7,79
0,81
7,81
0,81
0,81
0,81
4,82
0,82
2,82
1,82
8,82
6,83
8,83
4,83
8,83
0,83
0,83
0,83
0,84
3,84
2,84
6,84
0,85
7,85
4,86
1,86
0,87
5,87
5,87
8,87
6,88
5,89
