age,rs
89,3
89,2
52,3
61,3
81,3
31,5
87,4
87,4
52,6
87,5
90,7
73,6
75,6
82,6
87,6
92,6
94,7
80,7
84,10
90,7
90,10
28,3
29,3
31,4
45,7
56,5
58,10
60,11
64,9
69,6
70,5
70,6
72,3
74,5
78,2
78,11
80,3
85,9
90,10
93,5
93,2
92,1
64,4
72,2
93,3
66,4
72,4
84,3
89,3
90,3
73,4
74,4
77,4
80,5
82,4
90,4
49,6
60,6
75,5
87,7
95,5
32,6
77,6
81,6
92,6
94,7
58,7
82,9
85,8
98,9
75,10
48,3
50,4
60,4
65,2
72,1
74,2
77,4
80,5
82,4
86,4
88,6
89,6
93,4
98,9
75,3
89,2
68,3
72,4
80,3
88,3
72,4
52,5
73,6
78,6
78,6
78,6
89,5
77,6
79,7
84,7
94,7
93,10
47,4
55,4
56,8
68,10
70,4
70,4
73,6
77,3
77,9
79,13
81,4
82,3
82,5
83,7
85,7
86,8
88,9
89,2
90,11
94,12
84,11
76,2
87,3
92,2
77,3
79,3
88,3
89,3
92,5
95,3
50,4
73,4
75,4
79,4
79,4
80,4
85,4
85,4
72,5
87,5
66,6
94,6
56,7
73,7
83,8
91,7
96,7
38,9
80,9
82,9
38,10
47,5
56,8
56,10
60,3
64,8
66,7
66,5
67,4
68,3
72,2
73,9
76,1
79,5
80,1
80,7
85,6
86,3
92,3
95,4
95,10
96,8
97,8
97,11
71,1
67,2
84,3
67,3
72,3
75,3
93,3
54,5
72,5
78,5
73,6
76,6
77,7
96,6
75,7
83,7
85,7
89,9
69,9
72,8
77,8
96,10
50,5
64,5
65,1
71,4
73,6
76,10
77,5
79,5
80,6
80,8
85,10
86,2
87,5
88,5
91,8
91,9
91,4
95,1
75,2
87,3
68,3
80,3
80,3
85,3
86,3
84,6
95,4
95,4
85,6
95,5
64,6
76,6
93,6
75,9
85,9
86,7
95,7
90,9
67,3
69,3
70,4
72,3
75,6
76,4
81,6
81,1
85,3
85,4
95,6
83,1
90,1
63,3
83,3
86,4
94,4
60,5
72,6
94,6
82,6
85,6
85,6
76,7
72,8
66,6
72,3
75,3
77,4
79,6
82,6
82,5
87,3
90,3
94,5
94,3
22,2
50,2
86,2
86,2
90,3
92,3
51,4
67,4
68,4
92,4
62,5
71,7
88,7
76,8
52,0
62,4
73,3
76,12
77,4
78,6
79,7
82,6
82,4
83,5
83,5
84,7
85,7
93,6
93,5
57,3
74,2
51,3
76,3
84,3
92,3
86,4
86,4
92,4
67,8
82,5
86,6
92,5
71,6
79,8
42,7
49,8
79,8
80,11
25,4
52,8
56,8
63,5
71,11
73,2
73,2
74,4
80,12
80,7
83,7
83,6
83,5
83,4
84,4
88,4
92,4
77,1
74,2
81,2
86,2
26,3
58,3
68,3
70,3
78,3
91,5
23,4
36,4
71,4
79,5
80,4
85,4
86,4
87,4
88,4
88,4
91,4
52,5
68,5
70,5
76,5
85,5
88,5
91,5
91,5
32,6
73,6
54,7
64,7
84,7
89,9
63,8
71,8
85,8
91,10
61,6
64,3
66,2
71,5
75,5
76,12
76,2
80,5
80,4
84,7
86,5
87,2
88,2
88,4
88,5
89,4
89,5
89,6
89,6
91,10
91,3
91,2
91,3
91,5
87,1
34,2
43,2
66,2
74,3
74,2
86,3
90,3
61,6
62,6
70,6
75,4
