rs,age
8,87
7,77
3,77
9,77
1,77
8,75
4,75
2,74
10,73
5,71
5,70
7,69
4,69
1,68
10,67
1,67
8,66
4,66
7,66
6,65
7,65
7,65
7,65
8,62
5,61
4,60
0,60
11,59
6,59
0,59
12,59
4,58
9,57
8,57
1,57
11,56
4,56
7,55
4,54
8,54
6,54
5,54
5,54
0,54
8,53
1,53
7,52
5,52
12,52
8,52
3,52
11,51
10,51
5,51
8,50
0,50
4,50
0,49
5,49
11,48
8,48
0,48
1,47
7,47
8,47
4,47
7,47
7,47
0,47
0,47
6,46
8,46
4,45
10,45
10,45
5,45
0,45
11,44
1,44
0,44
9,43
6,43
0,43
3,42
4,42
3,42
6,42
13,42
2,42
7,42
1,42
9,41
8,41
11,40
6,39
5,39
6,39
2,39
5,38
7,38
6,38
7,37
5,37
7,37
2,36
5,36
1,36
6,35
7,35
7,35
0,35
6,34
2,34
5,34
5,34
4,34
8,34
3,33
1,33
5,33
5,33
7,33
4,33
0,33
2,32
7,32
6,32
7,32
4,32
4,31
3,31
2,31
3,30
2,30
5,30
1,30
6,30
1,30
0,30
2,29
2,29
5,29
2,29
2,29
2,29
1,29
7,28
2,28
4,28
2,28
4,28
0,28
1,27
3,27
3,27
1,27
4,27
1,26
3,26
2,26
1,26
3,26
0,26
2,25
0,25
1,25
3,24
1,24
2,24
2,24
0,24
0,24
1,23
0,23
1,23
2,23
1,23
0,23
2,23
1,23
1,22
0,22
1,21
1,21
0,21
3,20
1,20
2,20
1,19
1,19
2,19
1,18
1,18
1,17
1,17
1,17
