age,rs_surviving
23,2
22,2
23,1
35,5
18,0
25,2
20,1
47,6
40,5
45,7
31,7
21,3
45,7
38,9
26,3
18,0
30,4
21,1
57,4
41,6
18,0
25,4
18,0
32,4
28,3
54,6
34,6
53,6
45,6
36,7
25,6
19,2
18,0
18,1
26,5
26,3
36,8
56,7
22,2
34,4
18,0
53,5
42,5
23,3
27,1
22,3
24,4
37,5
34,7
25,3
18,0
35,7
21,0
30,0
57,4
46,3
29,3
21,1
28,3
21,2
20,3
29,3
20,0
35,5
28,6
18,0
36,8
31,5
45,4
40,5
27,3
21,1
27,4
20,2
27,2
25,3
21,3
21,1
32,3
37,8
29,2
19,0
57,11
18,0
21,0
38,9
30,7
27,5
25,3
25,1
32,7
32,5
34,5
25,7
31,1
30,6
28,5
18,0
50,8
35,7
23,1
27,6
25,2
55,4
45,7
50,5
46,6
27,6
22,2
55,3
30,6
27,3
25,1
60,6
34,1
25,3
45,6
55,8
40,4
45,8
28,4
18,0
38,7
30,3
48,5
45,5
35,6
50,7
20,0
35,5
30,5
36,8
25,0
45,8
32,6
60,11
30,4
25,1
20,2
40,8
70,9
18,0
35,5
65,4
36,1
24,1
60,8
36,7
20,0
20,0
35,5
30,6
40,8
25,1
35,2
50,9
22,2
20,1
45,6
22,1
35,4
40,4
26,3
45,6
36,6
65,6
20,0
50,4
18,1
45,4
18,0
45,5
50,6
30,6
21,0
55,9
48,4
26,1
38,7
18,0
33,5
65,6
38,4
23,1
25,1
27,3
38,6
18,1
25,3
58,7
34,7
55,5
22,2
37,5
26,5
35,7
40,6
37,4
30,0
24,1
40,7
26,0
49,8
33,6
28,2
30,5
40,4
30,4
45,6
38,7
19,2
48,2
23,2
40,8
55,8
25,0
40,6
30,5
48,6
45,5
21,2
25,4
45,6
39,6
50,3
50,6
20,1
23,1
55,10
22,1
24,3
19,0
22,1
33,5
19,1
25,3
32,4
28,2
33,7
35,5
35,7
35,6
36,8
25,2
25,2
36,6
25,1
54,6
36,6
35,6
45,11
30,5
27,3
22,1
23,2
20,0
26,3
29,3
23,0
20,1
