age,rs_surviving
22,0
26,3
60,8
20,0
38,9
30,2
27,1
45,9
40,7
34,7
24,2
18,0
33,5
65,4
35,7
24,1
48,5
34,7
26,4
37,7
28,3
46,7
22,1
20,2
24,2
18,0
68,5
32,3
18,0
18,1
23,3
42,7
18,1
18,1
27,4
22,2
45,6
37,5
46,3
22,0
30,4
45,8
19,1
27,4
24,1
30,4
40,7
45,3
18,1
35,5
45,4
26,2
30,5
22,2
45,6
28,5
24,4
36,5
40,6
30,3
40,9
20,2
50,9
28,4
30,3
23,4
22,2
55,10
26,1
27,2
40,2
32,5
40,10
22,6
25,2
25,4
20,0
20,0
26,4
35,10
22,2
45,6
65,6
40,9
36,5
30,6
22,2
45,3
19,0
50,2
26,0
25,1
37,7
25,2
43,8
45,7
35,3
25,1
50,9
30,4
45,8
52,4
53,7
39,6
45,5
22,2
27,3
30,4
27,2
30,7
39,6
29,3
48,9
39,9
34,6
27,1
38,5
25,2
20,1
30,2
27,3
25,1
29,3
45,6
45,0
18,0
19,0
38,7
30,6
50,7
29,5
50,5
24,2
20,0
19,1
20,0
37,6
32,5
36,1
23,0
36,6
34,7
40,8
22,1
32,4
30,4
37,6
33,6
18,0
26,3
35,2
21,0
29,6
35,5
46,7
19,1
18,1
38,3
43,4
28,3
30,6
25,7
47,5
24,3
24,2
36,3
40,6
23,1
47,5
60,1
21,1
18,0
22,3
40,6
30,2
23,1
29,6
36,6
40,6
30,3
35,8
30,5
53,5
24,2
47,7
34,6
37,5
20,0
33,6
34,6
49,6
25,1
38,9
20,1
18,0
32,9
18,0
54,5
29,4
18,0
18,0
18,0
22,1
28,8
30,6
19,0
20,1
35,6
65,6
30,6
35,7
28,5
25,3
30,3
18,1
30,4
50,6
18,0
55,5
18,0
25,2
26,3
53,6
47,10
40,5
35,4
24,2
35,5
25,1
23,3
28,1
50,9
31,4
28,5
31,5
38,7
40,7
45,4
35,5
35,7
32,5
33,8
40,7
25,6
22,3
45,4
28,6
26,4
26,6
24,4
60,5
19,1
23,2
30,7
18,1
18,0
18,0
19,0
24,5
36,7
32,7
45,4
25,1
32,1
23,1
38,0
22,1
38,0
42,6
72,4
20,0
26,1
48,8
30,4
40,6
32,6
56,5
55,8
22,0
18,0
18,1
20,0
48,3
70,6
36,7
25,4
35,6
19,0
20,1
40,4
32,3
54,6
28,0
19,0
19,0
29,4
22,1
70,9
35,4
58,5
27,3
36,6
50,9
37,4
19,0
83,7
28,4
28,3
26,3
32,6
18,0
25,3
34,5
19,0
46,4
40,7
28,4
19,0
28,5
27,2
20,1
60,9
29,7
21,3
20,1
19,0
27,2
55,6
51,5
