rs,age
0,12
0,13
0,14
0,14
0,15
0,15
0,15
0,15
0,15
0,15
1,15
1,15
1,15
0,16
0,16
0,16
0,16
0,16
1,16
1,16
1,16
0,17
0,17
0,17
1,17
1,17
1,17
1,17
1,17
1,17
2,17
2,17
2,17
2,17
5,17
0,18
0,18
0,18
0,18
1,18
1,18
1,18
1,18
1,18
2,18
2,18
0,19
0,19
0,19
0,19
1,19
1,19
1,19
1,19
2,19
2,19
2,19
3,19
0,20
1,20
1,20
1,20
2,20
2,20
2,20
2,20
2,20
2,20
0,21
1,21
1,21
1,21
2,21
2,21
2,21
2,21
3,21
3,21
0,22
1,22
2,22
2,22
2,22
2,22
3,22
3,22
0,23
0,23
2,23
3,23
3,23
3,23
3,23
3,23
4,23
1,24
2,24
2,24
2,24
3,24
3,24
4,24
6,24
1,25
1,25
3,25
3,25
3,25
4,25
4,25
5,25
5,25
0,26
0,26
0,26
3,26
4,26
5,26
7,26
0,27
0,27
3,27
3,27
4,27
4,27
4,27
4,27
5,27
1,28
3,28
3,28
4,28
4,28
5,28
5,28
6,28
6,28
6,28
7,28
7,28
2,29
2,29
3,29
5,29
6,29
8,29
0,30
0,30
2,30
4,30
4,30
4,30
5,30
7,30
7,30
4,31
6,31
6,31
7,31
13,31
0,32
3,32
3,32
4,32
6,32
7,32
8,32
0,33
1,33
3,33
4,33
5,33
5,33
7,33
0,34
5,34
8,34
8,34
8,34
2,35
7,35
7,35
7,35
9,35
11,35
11,35
11,35
0,36
5,36
7,36
7,36
9,36
10,36
0,37
2,37
5,37
10,37
1,38
6,38
6,38
8,38
8,38
9,38
9,38
13,38
14,38
7,39
9,39
9,39
10,39
10,39
11,39
13,39
7,40
8,40
9,40
9,40
10,40
11,40
12,40
6,41
9,41
14,41
4,42
4,42
7,42
9,42
10,42
13,42
2,43
4,43
6,43
6,43
9,43
9,43
10,43
14,43
0,44
6,44
6,44
7,44
7,44
11,44
13,44
2,46
13,46
13,46
11,47
7,48
11,48
0,49
7,49
3,50
4,50
7,50
9,50
11,50
11,51
8,52
10,52
11,52
12,52
5,53
8,53
10,53
10,53
6,54
8,54
10,54
11,54
12,54
12,55
8,57
13,57
5,58
9,58
11,58
2,59
3,59
6,59
13,60
8,62
9,62
8,63
12,63
15,63
6,64
0,65
6,67
5,68
12,68
8,69
10,69
9,70
14,70
4,73
6,73
8,73
9,73
12,73
15,74
8,75
11,75
9,76
11,76
6,77
12,78
1,79
9,80
16,80
8,86
9,87
4,97
