rs,age
1,18
1,18
0,18
1,18
0,18
0,18
1,18
0,18
0,19
0,19
1,19
1,19
1,20
1,20
0,20
1,20
1,20
1,21
1,21
0,21
2,21
0,21
1,21
2,22
2,22
0,22
1,23
0,23
0,23
0,23
2,23
0,25
4,25
2,25
4,25
1,26
1,26
0,26
0,27
2,27
2,27
3,28
0,29
1,29
5,29
2,29
0,30
1,30
1,31
2,31
3,32
4,32
0,32
3,32
2,32
2,33
3,33
0,33
4,33
2,33
2,35
3,35
3,35
3,35
0,35
3,36
0,36
2,37
3,37
6,37
1,38
6,38
3,38
0,39
3,40
0,40
5,41
1,41
4,41
3,43
3,43
8,43
0,43
8,44
2,45
4,45
3,46
5,46
0,47
5,48
5,48
7,48
2,48
7,49
9,49
4,49
9,50
2,50
2,51
5,52
6,52
4,53
3,54
4,56
1,57
9,59
5,59
2,61
1,62
5,63
5,68
9,71
9,80
