rs,age
1,15
1,15
4,17
2,17
1,22
2,24
0,25
3,26
2,27
1,28
1,29
2,33
3,34
0,34
3,35
0,36
3,38
0,38
0,38
1,38
0,39
0,39
0,40
0,41
0,41
0,41
1,42
0,43
0,43
3,44
6,44
0,45
0,46
3,46
1,47
2,47
0,48
0,50
6,50
0,51
3,51
5,51
1,53
4,53
3,54
3,54
1,55
2,55
8,55
0,56
2,56
0,56
1,56
3,57
2,58
5,58
3,59
3,59
1,60
0,60
0,61
5,62
0,62
9,62
0,63
5,65
4,66
1,66
6,66
0,66
0,67
1,71
3,72
3,72
1,72
3,72
0,73
1,73
6,75
1,76
2,76
1,76
5,77
2,80
