rs,age
7,50
0,23
0,19
6,43
0,19
0,16
6,35
0,15
0,13
6,43
0,21
0,19
5,46
0,20
0,18
0,14
0,12
6,39
0,12
8,45
0,17
0,15
0,13
0,29
4,41
4,35
0,16
7,54
0,19
1,25
2,25
2,24
6,42
0,19
2,28
8,50
0,21
0,19
0,17
1,27
8,45
0,23
0,19
0,15
4,48
0,17
0,15
4,50
6,36
0,15
0,28
0,20
2,28
0,23
8,49
0,25
0,14
0,27
0,12
1,28
6,57
3,24
1,40
2,37
0,17
0,15
6,43
0,22
0,17
0,13
1,33
3,42
0,16
1,23
7,52
0,18
0,22
0,20
0,17
7,34
0,14
0,16
3,29
2,25
8,54
5,36
0,14
3,40
0,17
0,21
7,51
0,24
0,20
6,48
0,20
0,18
0,16
6,40
5,43
0,20
0,16
6,55
0,28
0,26
0,24
0,19
4,69
1,37
0,27
0,17
0,39
2,28
5,64
0,17
3,25
7,71
0,30
6,36
0,12
7,60
0,20
4,55
0,20
0,18
0,24
4,47
3,27
6,33
0,13
2,29
3,37
0,15
2,30
5,46
0,20
0,17
0,15
1,25
0,16
5,53
0,20
0,18
0,16
0,28
0,23
0,18
