age,rs
44,6
29,4
33,6
21,1
45,6
36,6
52,7
35,3
22,0
73,8
48,8
24,0
25,3
24,0
17,1
53,4
42,8
52,7
29,3
48,15
40,8
36,8
32,3
35,5
41,0
51,5
24,3
36,2
62,8
18,1
22,0
44,3
67,8
39,4
40,7
20,0
26,4
18,1
24,3
15,1
24,1
17,2
40,6
24,0
32,7
14,1
25,3
43,6
13,0
38,10
19,2
37,7
82,6
15,1
45,5
16,1
62,4
57,8
53,5
37,4
40,5
17,1
32,7
44,5
19,0
24,4
23,1
17,1
38,0
18,1
16,0
28,3
68,6
34,6
20,1
48,6
23,1
52,10
24,3
39,6
33,4
31,5
21,1
24,3
21,1
17,0
17,1
17,0
17,0
16,0
43,7
54,14
57,11
27,5
28,8
33,4
53,10
14,0
17,0
17,1
37,5
12,0
43,5
78,7
20,3
25,3
55,4
37,5
58,9
27,3
17,1
29,5
31,5
38,3
37,4
23,3
27,4
16,0
14,0
40,8
23,1
49,9
64,3
22,1
44,5
44,11
21,3
48,8
60,8
50,6
27,4
48,1
75,9
24,3
46,10
42,7
18,0
47,7
48,2
16,0
28,5
59,2
35,7
41,9
68,12
52,9
38,11
70,1
22,2
58,9
18,1
57,5
41,7
21,2
25,2
39,3
54,2
20,2
75,2
24,4
37,4
56,4
17,1
42,6
58,6
37,10
40,6
18,1
42,12
27,3
27,3
23,1
29,3
38,11
47,12
71,8
42,8
52,8
51,5
46,10
51,10
71,2
37,6
39,8
55,5
19,0
27,2
40,9
40,5
60,8
56,7
38,6
22,4
29,3
74,8
52,8
35,10
20,1
53,9
37,5
64,2
59,7
40,4
31,4
32,5
24,3
39,9
19,0
31,6
69,3
46,5
45,10
26,3
30,4
25,2
18,3
16,0
53,4
54,7
35,8
57,5
75,4
49,4
40,9
38,5
20,1
39,7
15,1
48,5
24,2
36,4
21,2
20,2
38,5
31,5
40,6
59,7
29,7
26,4
36,2
42,9
19,1
30,4
16,1
42,7
17,1
63,8
50,8
22,1
32,6
48,5
28,6
25,3
37,2
27,3
22,1
72,6
28,4
24,3
47,8
45,12
52,12
20,2
43,8
21,2
42,7
24,1
50,11
22,3
22,3
20,2
16,0
54,8
18,1
23,2
23,2
71,5
49,5
54,5
58,6
41,9
19,1
25,2
46,8
42,7
71,1
67,6
38,4
25,4
36,2
69,3
56,1
30,2
27,4
26,3
24,1
20,2
71,8
54,7
59,5
56,8
20,3
28,5
69,11
41,9
47,7
20,1
29,5
29,2
62,7
30,4
45,5
52,12
41,7
20,1
58,7
38,10
21,2
20,1
28,4
25,4
57,7
45,4
27,4
25,4
22,4
30,5
77,6
39,6
52,9
22,2
46,10
24,4
27,5
25,3
44,10
34,7
24,2
57,6
22,0
23,2
16,0
26,3
19,1
22,3
36,3
33,5
39,4
36,5
31,6
41,10
35,7
37,6
25,5
26,4
39,5
24,2
29,5
28,5
27,6
21,0
25,3
17,1
20,3
44,2
68,8
27,3
55,10
18,1
26,3
33,5
39,11
46,1
43,8
21,2
38,8
47,9
46,4
22,3
38,9
66,7
45,9
30,6
34,6
45,4
24,3
80,6
47,9
27,4
36,7
32,6
62,11
56,6
18,1
61,4
31,6
51,10
24,4
32,4
34,8
53,3
29,6
55,6
21,0
33,6
57,6
38,6
29,1
58,7
22,3
36,7
47,3
40,6
28,3
50,9
30,1
61,10
23,4
41,8
21,3
31,4
23,0
55,6
19,0
16,0
56,7
43,9
73,4
64,2
21,0
17,0
35,7
30,4
39,7
20,2
28,2
33,5
22,3
18,0
19,2
21,2
46,11
22,1
21,1
19,3
25,5
31,4
44,5
32,5
38,2
22,2
32,5
23,3
19,1
36,7
73,5
47,6
26,3
22,2
22,3
33,5
36,5
32,5
34,1
42,7
23,3
19,1
43,7
48,10
19,2
61,4
43,3
22,1
33,6
42,6
39,5
20,0
19,1
21,3
30,7
44,1
62,6
46,2
51,8
42,8
25,5
37,6
63,6
46,14
19,2
26,3
31,4
58,5
33,9
36,8
20,1
51,10
20,0
43,8
21,3
41,5
43,3
22,3
18,1
35,10
38,7
20,2
32,2
22,2
22,2
47,8
22,2
38,7
18,2
36,3
30,6
33,0
26,2
20,2
27,3
15,1
42,1
40,7
17,0
24,2
18,2
28,3
16,0
14,0
23,0
34,3
58,11
33,4
48,11
26,3
36,8
42,9
35,4
30,5
81,7
54,11
24,2
61,10
25,5
31,7
51,9
33,5
37,2
24,3
21,2
29,5
40,10
18,1
81,7
39,9
20,3
28,4
66,3
33,6
21,2
34,7
21,2
29,3
35,9
29,4
30,5
27,5
23,1
32,6
18,1
27,2
63,6
36,5
33,5
26,1
16,0
15,0
15,0
16,0
46,3
19,0
19,0
43,8
51,7
45,6
48,9
41,4
46,9
53,10
45,5
42,10
40,7
37,7
37,5
49,3
44,3
65,11
46,11
57,5
51,2
59,8
43,8
46,10
57,8
34,6
64,5
47,12
81,10
59,7
59,7
57,6
53,5
45,11
45,4
69,5
65,3
53,9
53,9
40,8
51,5
60,4
42,7
44,9
41,4
45,10
33,1
40,6
52,8
72,5
58,6
41,8
68,4
50,4
64,10
51,9
42,5
70,1
57,8
50,8
39,7
49,4
40,6
53,5
47,2
42,11
40,8
39,6
54,5
33,6
42,10
53,9
51,3
44,7
44,3
40,10
38,6
50,4
45,9
55,8
38,8
36,9
77,4
54,8
56,5
65,8
41,7
75,3
47,10
45,9
43,7
47,12
30,4
37,4
42,6
42,5
44,2
37,4
54,9
56,3
42,8
47,9
49,7
39,6
41,10
40,8
42,6
46,11
44,12
34,6
38,4
45,5
43,8
42,7
35,3
32,7
40,4
39,6
39,5
37,4
51,10
44,9
42,7
36,6
39,7
39,5
44,8
37,7
37,6
40,10
48,6
43,8
43,7
40,8
39,6
46,9
47,7
52,4
40,5
40,4
61,7
46,4
43,9
39,10
38,5
40,2
39,4
47,10
45,7
49,6
42,7
56,5
61,4
43,5
53,7
82,5
67,10
44,5
64,7
77,10
58,6
48,10
40,6
51,13
41,6
40,6
40,8
38,1
19,0
16,0
56,3
61,1
45,1
40,2
54,0
54,8
44,4
47,3
59,7
58,11
60,9
53,4
61,2
75,6
51,8
41,1
37,0
60,5
37,0
20,0
15,0
21,0
76,0
74,0
18,0
28,0
39,0
15,0
34,0
62,0
58,0
30,0
73,0
33,0
90,0
41,0
16,0
17,0
18,0
64,4
16,0
17,0
21,0
32,0
36,0
64,10
64,0
47,0
56,1
64,6
54,3
60,8
73,0
59,0
73,6
59,0
67,7
54,3
44,0
71,4
76,1
67,3
50,0
63,3
55,5
68,4
73,6
68,5
53,5
44,4
40,4
69,8
70,6
74,6
55,0
35,2
83,11
61,6
57,2
77,4
55,4
49,9
52,5
45,3
63,0
54,6
61,7
74,4
54,5
80,7
47,5
38,5
79,5
57,6
46,4
56,3
35,0
73,3
62,2
48,6
68,7
69,1
40,4
45,0
41,3
66,9
45,1
86,0
60,2
45,1
66,5
71,3
81,0
42,3
56,3
70,1
45,3
48,0
69,2
56,0
59,1
38,5
73,4
42,11
42,7
18,0
36,2
17,0
17,0
41,7
42,6
38,6
41,9
37,1
54,6
27,5
35,1
42,10
25,5
57,10
43,9
66,4
56,5
70,4
66,1
60,7
58,7
44,5
15,1
28,7
22,4
21,5
51,4
41,7
72,5
40,9
60,11
48,9
46,1
40,9
57,5
59,9
57,6
56,2
26,0
48,7
47,7
45,1
18,0
52,2
40,9
41,5
55,7
61,9
41,5
15,0
50,4
53,3
51,9
45,4
50,8
38,5
44,8
37,8
44,3
59,9
51,6
77,8
65,4
86,4
84,6
21,1
52,7
39,4
62,9
48,10
43,14
52,0
40,5
28,0
45,6
46,5
53,6
65,1
62,4
37,1
37,8
58,3
31,5
71,3
21,3
80,0
80,0
28,5
50,0
43,7
