rs,age
1,19
0,19
2,19
1,19
1,20
0,20
0,20
0,20
1,20
1,20
3,20
2,20
0,20
0,20
0,20
0,21
2,21
0,21
0,21
0,21
0,21
1,22
4,22
1,22
1,22
2,22
2,22
2,22
0,22
1,22
1,22
0,22
1,23
1,23
2,23
1,23
1,23
0,23
3,23
1,23
1,23
1,23
1,24
0,24
0,24
3,24
3,24
3,24
0,24
1,24
2,24
4,24
1,24
0,24
0,24
0,24
1,25
0,25
0,25
0,25
0,25
0,25
0,25
0,25
0,26
4,26
0,26
1,26
5,26
0,26
6,26
1,26
2,26
1,26
7,26
1,26
0,26
0,26
0,26
0,26
0,26
8,27
5,27
3,27
1,27
1,27
3,27
5,27
0,27
0,27
3,27
0,27
4,27
1,28
1,28
2,28
1,28
2,28
1,28
2,28
0,28
2,28
1,28
5,28
0,28
4,28
0,28
5,28
1,29
9,29
5,29
1,29
7,29
1,29
1,29
0,29
4,29
1,29
0,29
0,29
0,29
0,29
1,29
0,29
0,29
2,29
1,29
0,29
2,30
5,30
7,30
4,30
3,30
0,30
2,30
1,30
3,30
9,30
0,30
1,30
1,30
1,30
8,31
5,31
0,31
4,31
10,31
0,31
0,31
0,31
0,31
0,31
1,32
1,32
1,32
4,32
11,32
0,32
4,32
9,32
1,32
2,32
1,32
2,32
0,32
0,32
0,32
0,32
0,32
1,33
2,33
8,33
7,33
3,33
1,33
3,33
3,33
1,33
3,33
1,33
0,33
6,33
0,33
0,33
0,33
9,34
4,34
0,34
7,34
3,34
0,34
1,34
2,34
0,34
6,34
0,34
1,34
0,34
1,34
9,34
1,34
0,34
2,35
7,35
3,35
1,35
4,35
1,35
6,35
0,35
0,35
6,35
1,35
5,35
0,35
1,35
0,35
4,36
2,36
1,36
2,36
1,36
7,36
2,36
13,36
9,36
7,36
1,36
3,36
0,36
1,36
0,36
1,37
1,37
0,37
7,37
5,37
1,37
2,37
3,37
3,37
1,37
11,37
0,37
4,37
4,37
0,37
0,37
0,37
0,37
5,38
1,38
0,38
5,38
7,38
0,38
5,38
4,38
1,38
0,38
0,38
0,38
6,39
5,39
1,39
1,39
0,39
3,39
0,39
1,39
1,39
0,39
0,39
6,40
6,40
11,40
2,40
3,40
2,40
1,40
6,40
0,40
2,40
0,40
0,40
0,40
1,41
1,41
2,41
14,41
0,41
1,41
1,41
0,41
3,41
4,41
0,41
1,41
0,41
1,41
0,41
7,42
1,42
2,42
2,42
1,42
1,42
1,42
1,42
5,42
4,42
0,42
1,42
0,42
4,42
1,42
1,42
2,42
0,42
0,42
0,42
0,42
2,43
1,43
6,43
7,43
2,43
12,43
3,43
7,43
0,43
0,43
0,43
0,43
0,43
2,44
1,44
3,44
6,44
5,44
0,44
5,44
1,44
1,44
11,44
1,44
0,44
0,44
0,44
0,45
1,45
6,45
6,45
7,45
7,45
0,45
8,45
2,45
1,45
2,45
0,45
6,45
5,45
1,45
0,45
4,46
0,46
1,46
5,46
8,46
3,46
0,46
1,46
1,46
0,46
0,46
0,46
0,46
3,47
3,47
0,47
11,47
1,47
0,47
16,47
0,47
0,47
0,47
0,47
0,48
0,48
1,48
5,48
2,48
5,48
1,48
1,48
0,48
0,48
0,49
12,49
0,49
5,49
2,49
6,49
3,49
1,49
7,49
6,49
18,49
0,49
4,49
1,49
4,49
0,49
12,49
0,49
0,49
0,49
1,49
1,49
0,49
1,50
1,50
1,50
3,50
6,50
5,50
0,50
0,50
13,50
5,50
5,50
2,51
7,51
13,51
1,51
1,51
0,51
1,51
12,51
0,51
0,51
0,51
1,51
1,51
0,51
0,51
0,51
0,51
2,52
3,52
1,52
3,52
1,52
0,52
1,52
6,52
0,52
6,52
5,52
0,52
0,52
0,52
8,52
