rs,age
1,14
0,14
0,15
0,15
1,16
0,16
1,16
1,16
0,16
1,17
1,17
1,17
1,17
1,17
2,18
1,18
1,18
1,18
2,18
0,18
2,18
1,18
1,18
1,18
1,18
2,19
0,19
2,19
1,19
2,19
1,19
3,19
1,19
2,19
2,19
1,19
2,19
3,19
3,20
3,20
2,20
3,20
0,20
2,20
2,20
1,20
0,20
2,20
1,20
0,20
0,20
0,20
1,20
0,20
1,21
3,21
0,21
1,21
0,21
2,21
1,21
0,21
1,21
1,21
0,21
0,21
1,21
1,21
2,21
0,22
3,22
3,22
1,22
0,22
5,22
0,22
0,22
5,22
3,22
0,22
0,22
1,22
1,22
0,22
4,22
1,22
0,23
0,23
1,23
2,23
1,23
3,23
0,23
0,23
0,23
3,23
2,23
0,23
5,23
3,23
3,23
0,24
3,24
0,24
2,24
3,24
0,24
1,24
1,24
6,24
0,24
0,24
0,24
3,24
2,24
0,24
0,24
4,24
4,24
2,24
2,24
5,24
3,24
0,25
1,25
5,25
0,25
1,25
0,25
3,25
0,25
4,25
1,25
3,25
0,25
0,25
0,25
2,25
0,25
1,25
0,26
4,26
2,26
3,26
0,26
0,26
1,26
5,26
0,26
0,26
0,26
5,26
4,26
3,26
2,27
4,27
1,27
3,27
3,27
0,27
5,27
0,27
5,27
3,27
1,27
0,27
1,27
2,27
0,27
0,27
3,27
5,27
3,27
4,27
4,28
7,28
6,28
6,28
6,28
3,28
5,28
0,28
1,28
4,28
0,28
3,28
0,28
2,28
3,28
2,28
0,28
0,28
6,28
3,28
3,28
6,28
0,28
4,28
3,28
2,28
6,29
0,29
2,29
3,29
3,29
0,29
6,30
1,30
0,30
2,30
5,30
1,30
0,30
4,30
0,30
0,30
0,30
4,30
3,30
7,30
4,30
0,30
3,30
0,30
3,31
0,31
4,31
5,31
2,31
4,31
0,31
3,31
0,32
3,32
4,32
4,32
7,32
0,32
1,32
4,32
0,32
0,32
1,32
4,32
0,32
7,33
1,33
12,33
4,33
0,33
2,33
2,33
4,33
8,33
2,33
4,33
2,33
2,33
7,34
4,34
3,34
3,34
6,34
1,34
0,34
3,34
7,34
4,34
4,34
0,34
4,34
1,35
0,35
2,35
5,35
0,35
0,35
4,35
7,36
4,36
0,36
0,36
4,36
4,36
3,36
0,36
3,36
4,36
0,36
1,36
2,36
6,36
6,37
0,37
3,37
2,37
5,37
0,37
6,37
10,38
4,38
5,38
5,38
0,38
4,38
1,38
2,38
5,38
4,38
0,38
4,39
1,39
1,39
0,39
3,39
5,39
1,39
0,39
11,39
0,39
11,39
1,39
0,39
4,39
7,40
5,40
1,40
0,40
3,40
1,40
4,40
2,40
0,40
2,40
5,40
9,40
3,40
6,40
5,40
5,40
4,40
2,40
9,41
3,41
6,41
6,41
0,41
4,42
4,42
5,42
0,42
13,42
10,42
4,42
6,42
2,42
1,42
2,42
0,42
3,42
11,42
6,42
0,42
4,42
7,42
10,43
9,43
6,43
4,43
5,43
0,43
2,43
0,43
3,43
0,44
10,44
5,44
4,44
0,44
0,44
5,44
2,44
7,44
2,44
4,45
1,45
16,45
3,45
12,45
2,45
6,45
7,45
5,45
2,45
0,46
10,46
2,46
0,46
8,46
6,46
0,47
5,47
0,47
6,48
4,48
13,48
3,48
9,48
0,48
11,48
0,48
1,48
10,49
13,49
7,49
5,49
8,49
9,49
7,49
0,49
7,50
4,50
0,51
6,52
2,52
1,52
6,52
14,52
3,52
8,52
4,52
2,53
6,53
12,53
0,53
3,53
10,53
10,53
11,53
10,53
11,54
4,54
6,55
1,55
5,55
12,55
12,55
1,55
0,55
12,55
11,55
1,55
8,55
3,56
3,56
0,56
1,56
4,56
11,56
1,56
8,56
1,56
1,56
1,56
7,57
8,57
4,57
12,57
7,57
7,58
2,58
9,58
6,58
2,58
1,59
0,59
7,60
5,60
7,60
1,60
16,60
3,60
7,60
2,61
5,61
7,61
3,61
5,62
1,62
1,62
0,62
1,62
10,62
8,62
11,63
1,63
2,63
12,63
4,63
11,63
14,63
2,64
3,64
12,64
2,64
7,64
6,64
1,64
0,64
1,65
1,65
3,65
1,65
1,65
1,65
0,65
1,66
13,66
6,67
9,67
4,67
0,67
8,67
8,69
4,69
2,69
7,69
8,69
1,70
1,70
2,70
9,70
9,70
7,70
7,70
6,71
14,71
2,71
6,71
4,71
5,72
9,73
13,74
5,74
6,75
7,75
8,76
2,76
6,77
9,78
4,79
4,79
10,80
1,80
1,80
10,80
1,80
4,80
9,83
1,84
9,85
1,86
7,86
1,89
1,90
1,90
6,90
2,92
2,93
4,94
4,97
