age,rs
45,4
28,3
51,1
59,0
50,0
25,0
53,5
50,3
72,3
55,5
37,5
60,5
79,3
49,1
31,2
39,5
39,5
62,2
44,3
43,6
72,4
49,7
68,5
42,3
37,6
51,6
50,0
63,0
82,4
31,0
69,3
57,5
72,4
65,5
83,6
46,4
45,1
49,4
42,4
64,8
45,6
63,3
73,2
31,5
53,13
34,4
44,3
64,6
45,3
70,9
54,1
56,1
79,3
58,4
59,4
50,4
50,7
30,2
40,2
78,7
31,2
33,2
67,7
37,0
21,2
32,1
22,2
32,1
31,1
30,2
26,2
25,0
34,4
20,0
39,4
45,6
50,4
66,4
50,9
36,1
62,2
51,5
51,3
48,3
40,3
43,4
58,7
37,1
35,0
81,4
48,1
74,6
35,2
42,4
45,4
73,1
50,7
49,3
58,5
42,8
37,2
52,2
27,2
33,1
52,3
61,7
76,4
50,2
59,4
55,1
40,5
57,4
62,6
54,1
56,3
67,9
56,3
57,2
53,2
57,1
48,8
56,3
75,4
68,3
57,4
60,6
67,0
56,5
40,3
57,2
26,0
58,1
40,2
68,9
29,5
56,6
37,5
32,2
45,7
66,5
44,0
25,1
38,4
51,6
60,2
33,1
35,3
63,4
54,3
39,2
46,2
34,0
46,3
56,4
52,3
50,0
61,1
54,3
30,1
49,3
53,2
46,1
74,5
53,6
43,2
49,6
60,4
72,3
31,1
29,0
62,5
58,3
55,6
47,1
40,1
29,1
59,2
45,3
60,0
51,2
53,4
53,3
35,2
63,2
40,4
67,5
50,3
48,8
31,5
47,5
65,4
43,8
60,2
32,3
65,6
60,8
54,3
57,1
56,2
48,2
35,0
50,2
70,2
52,4
55,6
55,3
50,3
48,3
60,1
40,1
62,1
45,5
55,3
63,2
55,3
57,1
50,1
50,3
56,5
68,3
33,0
46,1
35,0
42,4
45,1
68,3
54,7
25,3
65,2
71,5
50,5
52,5
62,1
55,2
39,1
26,1
72,3
64,4
40,3
46,1
61,2
65,5
76,2
67,2
45,0
70,6
55,4
70,4
