rs,age
1,19
1,19
1,21
1,22
1,23
0,24
1,24
1,26
0,27
13,27
2,28
6,28
6,29
0,30
1,30
2,30
1,31
1,32
4,33
0,34
0,34
0,34
6,34
1,36
7,36
7,36
7,36
1,37
4,37
1,38
2,38
3,38
7,39
8,39
0,40
0,40
3,40
3,40
4,40
5,40
6,40
6,40
7,40
4,41
3,42
4,42
4,42
5,42
8,43
8,43
5,44
6,44
6,44
6,44
6,44
7,44
7,44
4,45
4,45
5,45
5,45
6,45
6,45
8,45
3,46
5,46
11,46
2,47
4,47
5,47
5,47
4,48
7,48
8,48
8,49
0,50
1,50
2,50
3,50
7,50
4,51
5,51
7,51
8,51
2,52
6,52
4,53
6,53
6,53
2,54
6,54
8,54
9,54
5,55
1,56
8,56
0,57
2,57
5,57
8,57
9,57
10,57
11,57
8,58
6,59
7,59
3,60
7,60
9,60
0,61
4,61
5,61
5,61
7,61
9,61
11,61
4,62
1,63
2,63
2,63
3,63
4,63
6,63
8,63
8,63
12,63
0,64
3,64
4,64
8,64
8,64
8,64
9,64
4,65
4,65
4,65
5,65
6,65
6,65
7,65
7,65
3,66
5,66
11,66
0,67
2,67
2,67
2,67
4,67
5,67
5,67
6,67
6,67
7,67
7,67
7,67
1,68
2,68
2,68
3,68
5,68
5,68
6,68
7,68
7,68
8,68
8,68
2,69
4,69
5,69
6,69
7,69
8,69
3,70
6,70
7,70
7,70
9,70
0,71
4,71
5,71
6,71
3,72
4,72
4,72
5,72
10,72
13,72
0,73
1,73
3,73
4,73
5,73
5,73
5,73
8,73
1,74
3,74
3,74
4,74
4,74
6,74
6,74
6,74
7,74
10,74
11,74
1,75
4,75
5,75
6,75
6,75
6,75
6,75
7,75
8,75
9,75
1,76
3,76
5,76
6,76
7,76
7,76
8,76
10,76
0,77
0,77
0,77
2,77
2,77
6,77
6,77
6,77
8,77
0,78
2,78
4,78
5,78
6,78
6,78
6,78
9,78
9,78
10,78
1,79
1,79
2,79
3,79
4,79
4,79
5,79
6,79
6,79
7,79
9,79
1,80
2,80
2,80
2,80
2,80
3,80
5,80
10,80
11,80
13,80
0,81
4,81
5,81
5,81
5,81
6,81
6,81
8,81
8,81
1,82
1,82
2,82
6,82
9,82
2,83
3,83
4,83
4,83
5,83
5,83
6,83
6,83
7,83
8,83
8,83
10,83
12,83
1,84
3,84
4,84
5,84
5,84
7,84
8,84
8,84
6,85
6,85
6,85
7,85
8,85
9,85
9,85
9,85
11,85
2,86
4,86
7,86
7,87
8,87
9,87
10,87
4,88
5,88
6,88
10,88
6,89
7,89
9,89
14,89
3,90
5,90
5,90
6,90
9,90
2,91
3,91
4,91
7,91
8,91
4,92
6,92
7,92
10,92
3,93
6,93
7,93
7,93
8,94
4,95
7,95
6,99
2,100
7,100
