rs,age
6,18
1,19
7,19
0,20
1,20
1,20
0,21
1,21
0,22
3,22
0,23
1,23
1,23
0,24
0,24
1,24
1,24
1,24
0,25
0,26
0,26
1,26
1,26
2,26
2,26
3,26
0,27
1,27
1,27
1,27
3,27
3,27
5,27
0,28
1,28
1,28
1,28
2,28
2,28
4,28
0,29
0,29
0,29
1,29
1,29
1,29
2,29
3,29
0,30
1,30
2,30
2,30
0,31
2,31
3,31
3,31
4,31
4,31
0,32
0,32
0,32
1,32
1,32
4,32
0,33
1,33
1,33
2,33
2,33
2,33
2,33
3,33
3,33
4,33
4,33
4,33
5,33
0,34
1,34
3,34
3,34
7,34
0,35
1,35
1,35
1,35
2,35
2,35
4,35
5,35
0,36
1,36
1,36
2,36
2,36
2,36
3,36
0,37
1,37
1,37
2,37
4,37
5,37
5,37
5,37
0,38
0,38
1,38
1,38
2,38
4,38
5,38
6,38
7,38
0,39
0,39
2,39
2,39
3,39
3,39
4,39
4,39
5,39
5,39
6,39
0,40
0,40
1,40
1,40
2,40
2,40
4,40
6,40
7,40
1,41
2,41
3,41
4,41
5,41
5,41
5,41
6,41
1,42
2,42
4,42
4,42
4,42
6,42
7,42
8,42
0,43
0,43
1,43
1,43
1,43
2,43
3,43
4,43
0,44
4,44
5,44
0,45
3,45
3,45
5,45
7,45
8,45
0,46
3,46
3,46
3,46
6,46
0,47
1,47
1,47
1,47
2,47
2,47
5,47
6,47
1,48
2,48
4,48
4,48
5,48
5,48
5,48
0,49
0,49
0,49
2,49
3,49
6,49
7,49
2,50
5,50
5,50
7,50
0,51
2,51
3,51
3,51
3,51
4,51
5,51
7,51
7,51
8,51
0,52
0,52
1,52
3,52
6,52
7,52
7,52
7,52
8,52
1,53
3,53
8,53
9,53
0,54
3,54
3,54
4,54
4,54
5,54
5,54
6,54
6,54
3,55
4,55
4,55
4,55
4,55
5,55
5,55
6,55
1,56
3,56
3,56
3,56
4,56
4,56
5,56
6,56
7,56
8,56
11,56
0,57
1,57
1,57
2,57
2,57
2,57
5,57
5,57
5,57
8,57
10,57
0,58
1,58
1,58
1,58
2,58
2,58
4,58
4,58
5,58
5,58
5,58
5,58
6,58
6,58
9,58
0,59
1,59
1,59
3,59
3,59
4,59
4,59
4,59
5,59
5,59
6,59
6,59
7,59
8,59
9,59
0,60
0,60
0,60
2,60
2,60
2,60
3,60
3,60
4,60
5,60
5,60
6,60
6,60
6,60
7,60
8,60
0,61
1,61
1,61
1,61
1,61
2,61
2,61
2,61
2,61
2,61
2,61
2,61
2,61
3,61
3,61
3,61
3,61
3,61
4,61
5,61
5,61
5,61
7,61
7,61
7,61
7,61
8,61
1,62
3,62
3,62
3,62
3,62
4,62
4,62
4,62
4,62
4,62
4,62
5,62
5,62
5,62
6,62
1,63
2,63
2,63
2,63
2,63
3,63
3,63
3,63
3,63
4,63
4,63
4,63
4,63
5,63
6,63
6,63
7,63
0,64
0,64
0,64
1,64
1,64
2,64
3,64
4,64
5,64
5,64
5,64
6,64
6,64
6,64
6,64
0,65
1,65
2,65
2,65
4,65
4,65
4,65
5,65
5,65
6,65
7,65
8,65
10,65
0,66
0,66
0,66
0,66
0,66
1,66
1,66
1,66
2,66
2,66
3,66
3,66
4,66
4,66
4,66
4,66
5,66
5,66
6,66
6,66
6,66
6,66
6,66
8,66
8,66
9,66
1,67
1,67
1,67
1,67
2,67
2,67
3,67
3,67
3,67
3,67
4,67
5,67
6,67
6,67
6,67
7,67
7,67
8,67
8,67
11,67
0,68
1,68
2,68
3,68
3,68
3,68
3,68
4,68
4,68
4,68
5,68
5,68
6,68
6,68
7,68
8,68
0,69
2,69
2,69
2,69
3,69
3,69
4,69
5,69
6,69
7,69
8,69
9,69
0,70
2,70
2,70
3,70
3,70
3,70
3,70
4,70
4,70
4,70
4,70
5,70
5,70
5,70
5,70
5,70
6,70
7,70
7,70
8,70
8,70
9,70
0,71
0,71
1,71
2,71
3,71
3,71
3,71
4,71
4,71
5,71
5,71
5,71
5,71
5,71
5,71
6,71
6,71
7,71
15,71
0,72
0,72
1,72
1,72
2,72
3,72
3,72
3,72
3,72
3,72
3,72
3,72
4,72
4,72
4,72
4,72
4,72
5,72
5,72
5,72
5,72
6,72
6,72
6,72
9,72
9,72
11,72
0,73
0,73
1,73
2,73
2,73
2,73
2,73
3,73
3,73
3,73
3,73
4,73
4,73
4,73
4,73
4,73
4,73
5,73
5,73
5,73
5,73
6,73
6,73
7,73
7,73
7,73
9,73
10,73
0,74
0,74
0,74
1,74
1,74
1,74
2,74
2,74
2,74
2,74
2,74
2,74
3,74
3,74
4,74
4,74
4,74
4,74
4,74
4,74
5,74
5,74
6,74
1,75
1,75
2,75
2,75
2,75
2,75
2,75
3,75
3,75
3,75
4,75
5,75
5,75
6,75
6,75
7,75
7,75
7,75
8,75
10,75
11,75
0,76
0,76
0,76
1,76
1,76
2,76
2,76
2,76
3,76
3,76
3,76
3,76
3,76
3,76
4,76
4,76
4,76
4,76
4,76
5,76
5,76
5,76
5,76
5,76
5,76
5,76
5,76
5,76
5,76
6,76
7,76
7,76
8,76
0,77
1,77
1,77
2,77
2,77
3,77
4,77
4,77
5,77
6,77
6,77
6,77
7,77
7,77
7,77
7,77
8,77
8,77
0,78
0,78
0,78
2,78
2,78
2,78
2,78
3,78
3,78
4,78
4,78
4,78
4,78
4,78
4,78
4,78
4,78
5,78
5,78
6,78
6,78
6,78
6,78
7,78
7,78
8,78
9,78
0,79
0,79
0,79
0,79
0,79
0,79
1,79
2,79
2,79
2,79
2,79
2,79
3,79
3,79
3,79
4,79
5,79
6,79
6,79
7,79
7,79
12,79
1,80
1,80
1,80
1,80
1,80
1,80
2,80
3,80
3,80
3,80
4,80
4,80
4,80
4,80
4,80
4,80
4,80
4,80
5,80
5,80
5,80
6,80
6,80
6,80
7,80
7,80
7,80
7,80
7,80
8,80
9,80
9,80
11,80
0,81
0,81
1,81
1,81
2,81
2,81
2,81
2,81
3,81
3,81
3,81
3,81
4,81
4,81
4,81
5,81
6,81
7,81
7,81
7,81
8,81
8,81
10,81
0,82
0,82
1,82
1,82
2,82
3,82
3,82
3,82
4,82
4,82
5,82
5,82
5,82
5,82
6,82
6,82
6,82
7,82
7,82
7,82
7,82
8,82
8,82
8,82
10,82
0,83
0,83
0,83
2,83
2,83
3,83
3,83
4,83
4,83
5,83
5,83
5,83
6,83
6,83
6,83
6,83
6,83
7,83
9,83
0,84
2,84
2,84
3,84
3,84
3,84
3,84
3,84
4,84
4,84
4,84
5,84
5,84
5,84
5,84
6,84
6,84
6,84
6,84
7,84
7,84
1,85
2,85
3,85
3,85
3,85
4,85
4,85
4,85
4,85
6,85
6,85
6,85
6,85
8,85
0,86
0,86
0,86
2,86
3,86
3,86
4,86
5,86
6,86
6,86
7,86
8,86
8,86
8,86
9,86
0,87
1,87
2,87
2,87
4,87
4,87
4,87
4,87
5,87
5,87
6,87
6,87
7,87
7,87
7,87
8,87
0,88
2,88
3,88
4,88
5,88
5,88
5,88
5,88
6,88
6,88
6,88
7,88
7,88
8,88
8,88
8,88
1,89
1,89
2,89
3,89
3,89
6,89
7,89
8,89
1,90
1,90
2,90
4,90
7,90
7,90
7,90
0,91
2,91
2,91
2,91
6,91
6,91
9,91
9,91
3,92
4,92
4,92
2,93
4,93
1,97
6,97
4,98
1,100
5,100
