age,rs
45,4
28,2
38,2
24,1
27,2
40,3
18,0
42,4
34,4
44,5
21,1
25,1
24,1
75,4
38,3
40,4
18,0
65,5
42,4
43,3
52,4
44,4
62,4
38,3
45,5
20,2
37,5
33,2
30,1
55,5
26,1
20,2
28,2
56,0
30,3
50,3
35,5
28,3
55,7
36,3
32,2
52,4
70,3
25,1
18,0
50,2
19,1
20,1
38,3
75,2
36,2
17,1
34,3
18,0
25,2
27,2
57,4
45,5
71,5
40,4
67,2
18,1
32,3
38,5
20,1
21,1
18,0
65,3
35,3
17,0
46,5
33,3
26,1
24,2
65,3
20,0
26,0
52,4
44,4
17,0
22,0
32,2
65,7
21,1
38,2
22,0
68,4
62,6
33,3
64,3
44,3
22,1
32,0
52,2
22,0
26,0
30,2
42,3
29,2
70,3
52,4
30,1
44,5
18,0
42,7
62,0
43,4
38,4
65,4
17,0
28,2
25,0
30,2
44,1
18,1
26,1
42,7
36,3
68,1
27,3
29,3
57,0
70,3
72,2
25,1
25,1
24,2
35,2
72,6
26,1
45,2
25,0
26,2
42,3
18,0
21,1
39,5
50,5
25,1
35,3
33,2
20,1
28,3
25,2
27,2
19,0
27,1
38,4
54,4
28,2
27,0
23,2
40,6
