age,rs
73,5
63,9
72,7
73,4
72,7
70,4
70,7
62,8
66,8
62,9
62,0
46,5
77,6
63,4
55,4
55,1
78,6
65,4
42,6
59,9
59,6
59,6
57,6
43,8
87,7
56,7
51,5
52,9
86,6
43,7
23,0
51,3
51,8
41,5
51,7
47,6
75,7
61,6
46,8
46,7
45,6
44,2
43,4
78,5
43,7
32,6
51,10
66,5
74,5
31,4
33,5
37,5
16,0
35,4
33,5
33,4
68,5
34,4
34,3
68,3
68,7
67,0
67,6
33,2
66,4
29,4
62,2
31,3
23,0
51,6
64,7
62,1
63,5
21,1
62,2
35,3
30,0
29,1
25,1
61,4
61,4
61,9
55,3
61,3
60,3
60,2
29,1
47,1
60,7
59,5
59,1
58,9
58,7
58,2
23,1
58,1
46,9
58,6
57,4
56,2
57,3
57,7
57,3
56,5
23,0
25,2
55,1
56,7
55,8
54,4
54,5
20,0
33,3
53,2
53,2
51,5
52,6
52,8
51,6
51,8
50,9
50,8
50,4
50,7
49,8
49,7
49,4
49,5
48,5
48,5
48,3
47,9
47,6
47,9
46,6
46,5
46,9
45,9
46,4
50,4
44,5
44,1
44,3
44,4
43,5
43,5
42,3
43,4
39,9
42,8
42,2
31,2
40,7
39,4
40,2
39,6
39,6
39,8
38,8
38,0
38,6
38,2
37,7
37,5
37,7
37,1
37,6
36,2
26,0
36,6
36,4
35,6
34,3
33,0
34,4
33,6
32,3
32,4
32,0
31,4
31,2
30,1
30,3
30,3
30,1
30,0
29,0
29,0
29,3
16,0
29,0
29,5
29,1
28,3
28,1
20,0
28,4
28,2
28,1
28,0
27,3
27,0
27,0
27,1
27,3
26,2
26,1
27,0
26,3
26,2
26,1
56,2
21,1
37,0
31,0
22,2
33,0
30,0
15,0
31,0
42,0
30,3
25,0
32,4
15,0
20,2
31,0
47,6
19,0
27,0
47,4
47,4
50,8
50,7
49,6
22,1
29,6
47,8
24,1
36,0
17,0
27,0
45,5
31,1
23,0
37,0
23,1
48,7
17,0
28,2
30,2
26,2
21,1
34,0
47,6
30,0
34,5
24,3
25,0
23,0
40,6
32,4
29,0
31,3
34,4
31,1
38,0
44,6
24,1
16,0
55,6
18,1
32,3
26,0
32,0
60,4
31,2
29,2
38,3
38,0
29,0
40,0
31,0
39,0
