age,rs
1,0
1,0
1,0
2,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
4,0
4,0
5,0
5,0
5,0
6,0
6,0
6,0
7,0
8,0
9,0
9,0
10,0
10,0
10,0
11,0
12,0
12,0
13,0
13,0
13,0
14,0
16,0
16,0
17,0
17,1
19,0
19,0
20,0
20,0
20,0
21,0
21,1
21,1
22,0
22,0
22,0
23,0
23,2
24,0
24,0
24,0
24,1
24,2
25,1
25,2
26,1
27,1
27,1
28,1
28,2
28,2
29,1
30,3
30,3
31,0
32,2
32,2
33,1
33,2
34,0
34,7
35,2
35,2
37,3
37,4
38,2
39,1
39,5
40,3
40,3
42,2
43,5
44,1
44,4
44,6
46,6
47,2
49,1
49,4
49,5
50,5
51,5
53,7
55,6
56,2
57,2
57,7
58,4
61,12
62,5
67,11
78,8
