age,rs
65,1
70,2
55,2
35,0
25,0
50,0
75,4
65,3
35,4
35,4
50,7
25,1
30,3
40,2
30,3
35,1
40,0
45,6
25,1
45,6
50,0
65,1
25,1
40,2
55,2
30,1
55,1
70,4
30,4
35,3
25,0
35,1
30,2
50,4
25,1
35,1
50,0
85,2
60,0
45,4
25,2
40,1
35,4
40,0
45,1
75,1
35,3
50,1
65,4
40,1
50,6
30,3
55,1
45,0
55,3
55,4
25,1
40,3
45,2
30,1
50,1
50,3
85,2
40,0
25,1
30,4
25,1
80,0
45,0
70,2
30,0
65,5
35,3
80,1
35,0
55,4
40,1
65,0
40,4
55,0
60,5
20,0
55,5
30,3
40,5
70,2
45,2
50,0
70,3
70,1
40,3
50,1
35,4
70,0
45,0
30,1
65,3
75,1
60,1
35,3
30,2
25,1
55,4
60,1
70,0
60,4
25,1
60,3
25,1
45,1
75,4
65,1
60,4
40,2
65,3
50,3
30,3
60,4
45,2
50,3
50,1
30,2
60,1
55,4
35,2
40,3
25,1
40,2
40,1
35,4
40,1
55,1
45,3
70,4
25,1
30,1
40,7
45,2
65,1
55,1
