rs,age
2,18
0,20
0,21
0,22
2,22
3,23
1,23
3,23
0,24
1,24
0,25
1,25
0,25
1,25
0,25
1,26
1,26
2,26
5,26
7,26
0,27
0,27
0,27
1,27
0,27
3,27
2,28
0,28
1,28
5,28
1,28
4,28
1,28
2,28
0,28
3,28
0,29
1,29
3,29
3,29
0,30
3,30
0,30
5,30
0,30
1,31
5,31
0,31
1,32
0,32
0,32
2,33
7,33
1,33
5,33
5,34
5,34
0,34
3,34
0,34
3,34
0,34
1,34
4,35
7,35
2,35
3,35
7,35
1,36
4,36
7,36
6,36
9,36
0,36
6,36
9,36
9,36
0,36
1,38
2,38
4,38
3,38
10,38
7,38
2,38
9,38
6,38
6,38
5,39
5,39
13,39
4,40
2,40
3,40
0,40
0,40
3,40
1,40
8,40
5,40
9,40
7,40
9,41
5,41
5,41
3,42
12,42
6,42
4,43
13,43
0,43
0,44
0,44
1,44
4,44
8,44
5,44
3,44
9,44
4,44
7,44
5,45
5,45
9,45
1,45
8,45
11,45
11,45
13,45
5,45
11,46
13,46
2,46
3,47
12,47
4,47
1,47
1,47
3,48
10,48
6,48
11,48
9,48
2,48
9,48
1,48
0,48
2,49
0,49
13,49
0,50
7,50
0,50
10,50
9,50
0,50
4,51
4,51
2,51
10,51
4,52
6,52
7,52
6,53
2,53
2,54
5,54
10,54
5,54
6,55
0,55
4,55
5,55
5,55
13,56
6,56
11,56
8,56
3,57
8,57
0,58
7,58
2,59
4,59
9,59
14,59
2,59
14,59
8,59
0,60
0,60
3,60
3,60
0,60
4,60
3,60
4,60
0,60
2,60
0,60
8,60
9,60
11,61
8,61
11,61
12,61
3,62
0,62
14,62
5,62
0,62
0,63
2,63
7,63
1,63
10,63
8,63
6,63
6,64
2,64
7,64
8,64
11,64
6,65
5,65
5,65
11,65
2,65
14,65
13,65
7,66
2,66
6,66
0,67
2,67
2,68
4,68
2,68
13,68
9,68
2,70
0,70
0,70
1,70
1,70
5,70
1,70
5,70
0,70
6,70
0,70
8,70
10,70
6,70
10,70
3,70
3,71
2,71
7,71
0,71
10,71
8,71
3,71
7,72
0,72
1,72
1,72
5,73
9,73
7,74
0,74
7,74
8,74
3,74
1,74
5,75
8,75
10,75
1,75
0,75
5,75
1,75
8,76
5,76
2,77
3,77
4,77
13,77
12,77
11,77
7,77
8,77
1,77
14,77
0,78
1,78
7,78
8,78
7,79
4,79
6,79
11,79
5,80
12,80
7,81
0,81
4,81
5,82
2,82
3,82
0,82
9,82
9,82
8,82
5,83
7,83
4,83
0,83
12,83
2,84
8,84
3,85
5,85
3,85
11,85
11,85
1,85
0,85
0,86
0,88
7,89
16,89
0,90
2,90
15,90
7,90
9,90
9,91
14,93
2,94
3,94
8,94
0,95
4,95
6,96
2,104
