rs,age
0,16
0,16
0,17
0,18
0,19
0,19
0,19
0,20
0,21
0,21
0,24
0,26
0,26
0,27
0,28
0,31
0,32
0,33
0,34
0,35
0,36
0,36
0,38
0,39
0,42
0,44
0,48
0,48
0,49
0,52
0,54
0,58
0,60
0,61
0,62
0,66
0,67
0,67
0,68
0,68
0,69
0,69
0,71
0,74
0,76
0,82
0,83
0,87
0,88
1,18
1,21
1,27
1,28
1,28
1,30
1,35
1,37
1,44
1,52
1,56
1,62
1,66
1,81
1,83
1,83
2,23
2,24
2,26
2,27
2,37
2,44
2,52
2,59
2,63
2,63
2,65
2,72
2,73
2,73
2,75
2,80
2,81
3,31
3,33
3,38
3,54
3,60
3,61
3,68
3,73
3,87
4,34
4,36
4,43
4,69
4,72
4,74
4,74
4,78
4,82
4,88
4,96
5,29
5,31
5,35
5,42
5,42
5,42
5,48
5,62
5,64
5,65
5,70
5,76
5,78
5,88
5,95
6,32
6,38
6,50
6,53
6,56
6,63
6,73
6,75
6,78
6,83
7,47
7,55
7,65
7,69
7,79
7,79
7,81
7,89
7,89
8,49
8,50
8,54
8,71
8,71
8,77
8,81
8,87
9,36
9,42
9,59
9,61
9,66
9,77
9,111
10,28
10,36
10,67
10,70
10,80
10,96
11,56
11,65
12,67
12,67
12,74
12,74
12,75
12,78
13,66
13,77
14,57
16,91
