rs,age
0,16
0,16
0,17
0,17
0,19
0,19
0,20
0,20
0,20
0,21
0,21
0,21
0,21
0,21
0,22
0,23
0,23
0,23
0,24
0,24
0,25
0,25
0,26
0,27
0,27
0,28
0,28
0,28
0,29
0,29
0,29
0,29
0,31
0,32
0,32
0,33
0,33
0,34
0,36
0,36
0,39
0,40
0,40
0,40
0,40
0,40
0,42
0,43
0,43
0,45
0,46
0,46
0,47
0,47
0,48
0,49
0,49
0,49
0,50
0,50
0,51
0,53
0,53
0,54
0,55
0,56
0,57
0,57
0,58
0,58
0,59
0,59
0,60
0,60
0,60
0,60
0,62
0,62
0,63
0,63
0,64
0,64
0,64
0,64
0,65
0,65
0,65
0,65
0,65
0,66
0,66
0,66
0,67
0,67
0,67
0,68
0,69
0,69
0,69
0,69
0,69
0,69
0,69
0,70
0,70
0,70
0,70
0,71
0,71
0,71
0,71
0,71
0,72
0,72
0,72
0,73
0,73
0,74
0,74
0,75
0,75
0,75
0,75
0,76
0,76
0,76
0,76
0,76
0,77
0,77
0,77
0,77
0,78
0,78
0,78
0,78
0,78
0,78
0,79
0,79
0,79
0,79
0,79
0,80
0,80
0,80
0,80
0,80
0,80
0,80
0,81
0,81
0,81
0,82
0,83
0,83
0,83
0,83
0,83
0,83
0,83
0,83
0,83
0,84
0,84
0,84
0,85
0,86
0,86
0,86
0,86
0,86
0,87
0,87
0,87
0,88
0,88
0,88
0,88
0,89
0,91
0,92
0,92
0,93
0,93
0,94
0,99
0,102
0,104
1,18
1,20
1,21
1,21
1,23
1,24
1,25
1,25
1,26
1,26
1,30
1,35
1,36
1,37
1,39
1,41
1,46
1,51
1,56
1,56
1,60
1,61
1,65
1,68
1,70
1,70
1,70
1,74
1,74
1,74
1,76
1,76
1,77
1,78
1,78
1,79
1,80
1,80
1,80
1,80
1,81
1,82
1,84
1,85
1,86
1,86
1,86
1,88
1,88
1,88
1,89
1,89
1,90
2,24
2,28
2,29
2,39
2,40
2,42
2,42
2,42
2,44
2,46
2,52
2,54
2,59
2,60
2,60
2,62
2,64
2,65
2,65
2,65
2,68
2,68
2,69
2,70
2,70
2,72
2,73
2,73
2,74
2,74
2,74
2,76
2,76
2,76
2,76
2,76
2,76
2,76
2,76
2,77
2,77
2,78
2,79
2,80
2,80
2,81
2,81
2,81
2,84
2,86
2,87
2,87
2,88
2,90
2,90
2,90
3,28
3,33
3,40
3,40
3,43
3,43
3,45
3,47
3,51
3,53
3,54
3,56
3,56
3,57
3,59
3,63
3,65
3,65
3,66
3,68
3,68
3,68
3,69
3,70
3,70
3,71
3,72
3,74
3,74
3,75
3,75
3,76
3,77
3,77
3,77
3,78
3,78
3,78
3,80
3,80
3,81
3,81
3,81
3,81
3,81
3,83
3,84
3,85
3,88
3,89
3,89
3,90
3,90
4,33
4,34
4,35
4,36
4,37
4,38
4,39
4,49
4,50
4,51
4,52
4,52
4,56
4,56
4,61
4,61
4,64
4,64
4,66
4,69
4,69
4,71
4,71
4,72
4,72
4,72
4,73
4,74
4,75
4,77
4,77
4,77
4,78
4,79
4,80
4,80
4,81
4,82
4,82
4,82
4,84
4,85
4,86
4,88
4,89
4,90
5,26
5,34
5,36
5,37
5,38
5,40
5,46
5,49
5,55
5,56
5,57
5,60
5,60
5,61
5,61
5,62
5,62
5,62
5,64
5,65
5,65
5,69
5,71
5,72
5,72
5,73
5,74
5,74
5,75
5,75
5,76
5,78
5,78
5,79
5,80
5,80
5,81
5,84
5,84
5,84
5,84
5,86
5,87
5,89
5,90
5,94
6,41
6,41
6,50
6,55
6,56
6,59
6,61
6,68
6,69
6,69
6,70
6,72
6,72
6,73
6,73
6,73
6,74
6,75
6,78
6,79
6,80
6,81
6,81
6,81
6,83
6,85
6,89
6,89
6,92
7,34
7,39
7,44
7,51
7,59
7,63
7,64
7,69
7,70
7,71
7,72
7,74
7,74
7,76
7,76
7,77
7,77
7,78
7,78
7,82
7,88
7,91
7,92
7,94
8,35
8,37
8,43
8,59
8,69
8,72
8,73
8,73
8,74
8,75
8,76
8,81
8,81
8,81
8,82
8,82
8,86
8,92
9,34
9,45
9,61
9,76
9,77
9,79
9,80
9,82
9,83
9,92
9,92
10,46
10,58
10,62
10,68
10,71
10,78
10,80
10,89
10,90
11,70
11,81
11,86
12,52
12,72
12,75
12,77
13,77
14,84
