rs,age
2,26
2,29
5,37
5,43
2,29
1,33
3,69
4,58
4,77
7,67
3,65
8,66
8,65
7,63
7,62
3,61
8,59
8,56
7,56
5,52
5,52
6,54
8,51
3,52
6,50
4,52
7,52
6,51
4,48
3,48
8,46
6,48
7,43
4,44
6,41
4,41
3,39
6,41
3,38
4,40
4,38
3,38
2,38
4,38
3,38
4,37
4,38
3,36
3,35
3,35
3,37
2,36
3,33
3,33
2,33
1,32
3,32
3,32
1,33
2,31
2,30
1,29
1,29
1,29
1,29
1,29
1,28
1,27
2,26
2,26
1,24
10,72
2,73
5,65
4,63
7,64
3,61
3,61
7,63
5,59
1,61
2,61
7,58
5,59
5,57
3,56
6,58
4,55
4,55
5,53
7,54
4,51
5,51
7,53
8,53
2,53
4,47
6,47
3,47
6,47
6,47
6,49
4,49
4,49
3,49
1,46
5,45
3,45
8,45
2,44
4,44
6,44
3,45
3,45
2,42
4,41
6,41
4,43
3,41
3,41
3,40
7,40
2,40
3,40
2,40
6,42
3,38
3,37
2,37
2,37
2,37
5,37
3,37
1,39
2,39
2,39
3,39
4,36
4,36
3,35
3,37
2,34
4,34
3,34
2,34
2,36
3,33
1,33
4,33
2,35
2,32
2,32
1,34
2,33
3,31
1,33
1,30
2,30
2,30
1,30
2,30
1,30
2,32
1,32
1,29
1,29
1,29
1,27
1,29
2,55
1,55
2,55
