rs,age
5,57
2,52
6,51
5,47
6,46
8,45
3,44
4,40
1,40
4,38
3,36
2,32
1,24
2,32
4,41
6,47
2,42
4,64
4,61
2,62
6,61
7,59
7,61
1,60
6,58
2,57
4,56
5,57
4,57
2,56
4,56
1,54
7,55
6,55
1,55
4,53
3,55
6,55
5,54
4,53
4,53
3,51
3,51
3,53
5,49
2,49
4,47
5,49
2,48
7,48
3,48
3,46
4,44
5,43
4,43
5,44
4,44
3,44
5,44
2,42
5,44
5,44
1,44
3,41
2,43
2,42
5,42
1,40
5,40
3,39
4,39
3,37
3,39
3,37
3,37
3,37
3,38
2,38
3,37
3,35
2,35
1,37
2,36
2,36
2,34
1,34
2,36
1,36
3,35
2,33
3,33
1,33
1,35
1,32
1,34
2,33
2,33
1,30
3,30
1,30
1,32
2,31
1,29
2,28
1,24
1,24
2,21
1,21
