age,rs
15,1
16,0
16,0
16,1
16,0
17,0
17,1
17,1
17,0
17,0
18,1
18,2
18,0
18,0
18,0
20,1
20,1
20,1
20,0
20,1
22,3
23,2
23,1
23,0
23,1
23,1
23,0
24,2
24,3
24,4
25,4
25,6
25,3
25,2
25,3
25,3
25,1
25,0
25,1
25,4
25,2
25,3
25,2
26,4
26,0
26,0
26,2
26,3
26,6
27,1
27,1
28,7
28,2
28,5
28,3
28,2
30,5
30,2
30,1
30,4
30,5
32,3
33,4
33,4
34,6
35,1
35,6
35,1
35,3
35,6
35,7
35,5
35,4
38,0
38,5
39,1
40,7
40,2
40,6
40,4
40,5
40,4
40,0
40,3
40,6
40,4
40,2
40,8
40,9
40,5
40,5
42,4
44,9
45,6
45,5
45,3
45,3
45,4
45,1
45,2
45,3
45,4
49,1
50,1
50,3
50,3
50,3
50,5
55,10
55,3
55,3
59,3
60,5
60,3
60,10
65,9
65,5
70,1
