rs,age
0,16
1,16
0,17
1,17
2,17
0,17
0,17
0,18
0,18
1,18
0,18
1,19
1,20
0,20
1,20
2,20
1,20
1,20
1,20
0,20
1,20
1,20
2,20
0,21
1,21
1,21
1,21
2,21
3,21
1,21
3,22
1,22
3,22
1,22
2,22
3,22
1,23
1,23
1,23
3,23
0,23
3,24
3,24
3,24
2,24
0,24
2,25
3,25
1,25
2,25
1,25
1,25
0,26
1,26
1,26
0,26
1,26
1,26
2,27
4,27
0,27
0,28
3,28
1,28
3,28
1,28
3,28
1,28
2,28
6,29
2,29
3,29
2,29
0,29
3,29
3,29
4,30
4,30
3,30
8,30
6,30
4,30
3,31
5,32
3,32
2,32
6,32
2,32
5,32
5,32
7,32
3,33
11,33
7,33
4,33
6,33
5,34
7,34
3,34
3,34
8,34
4,34
3,35
4,35
1,35
2,35
1,35
4,35
9,35
4,36
3,36
4,36
6,36
5,37
6,37
4,37
10,37
8,37
1,38
4,38
2,38
4,38
7,38
1,38
2,38
7,38
2,38
3,39
3,39
7,39
4,39
6,39
1,39
4,40
4,40
5,40
6,40
10,40
8,40
5,41
8,41
7,41
2,41
6,41
6,42
6,42
9,42
5,43
12,43
7,43
9,43
6,43
1,44
10,44
3,45
3,45
9,45
3,45
1,45
3,45
8,45
6,45
4,46
9,46
4,46
3,47
7,47
11,47
2,47
3,47
7,47
0,48
7,48
7,48
6,48
2,49
3,49
10,50
8,50
4,51
7,51
7,51
2,52
6,52
4,52
4,52
6,52
8,53
5,53
4,53
4,53
5,53
4,54
6,54
3,54
7,55
10,55
10,56
7,56
6,56
3,56
5,57
7,57
7,58
3,58
7,59
8,59
3,59
10,59
9,59
7,59
6,60
9,60
6,61
7,61
3,61
3,61
4,62
7,62
2,62
3,62
7,63
8,63
3,64
4,64
10,64
4,64
3,64
5,64
8,64
7,64
6,65
4,65
8,65
8,66
3,66
2,66
12,66
9,66
6,67
6,67
6,67
6,67
7,67
1,68
8,68
7,69
5,69
5,69
2,69
11,69
4,70
2,70
7,70
9,70
8,70
6,70
1,70
0,71
10,71
4,72
6,72
6,72
7,72
6,73
7,73
0,73
6,73
7,74
7,74
2,74
4,75
2,75
7,76
8,76
6,76
7,77
6,77
4,77
5,77
4,78
8,78
6,78
3,78
9,78
2,78
13,78
9,78
4,79
7,79
9,80
5,80
7,80
6,80
3,81
6,82
5,82
9,82
5,83
5,84
4,84
6,84
6,85
9,85
6,85
10,86
7,87
5,88
9,88
6,89
8,91
5,93
7,96
