age,rs
17,0
17,0
17,0
17,0
19,1
20,0
20,1
20,2
21,0
21,1
21,2
23,2
23,2
24,2
24,3
24,3
25,0
25,0
25,2
25,2
26,0
26,1
26,2
26,2
26,2
26,3
27,1
27,2
27,3
28,1
28,2
28,4
29,2
29,2
30,1
30,1
30,2
30,3
30,4
30,5
31,1
31,2
31,3
31,3
31,4
32,5
33,4
33,6
34,0
34,1
34,2
34,5
34,6
35,2
35,5
38,0
38,2
39,4
39,5
40,2
40,2
41,1
41,3
41,5
41,8
41,8
42,5
43,1
43,2
43,2
43,4
43,5
44,3
46,1
46,7
47,2
47,5
48,1
48,2
49,5
51,3
52,4
52,4
53,3
54,5
56,2
56,5
59,2
60,4
61,4
63,5
64,3
65,2
66,5
69,3
69,6
72,2
72,4
72,4
73,1
75,2
75,3
76,2
78,3
79,2
80,5
