rs,AGE-cat,age
0,2,25
0,2,25
0,2,25
0,3,35
0,3,35
0,3,35
0,3,35
0,3,35
0,3,35
0,3,35
0,3,35
1,3,35
1,3,35
1,3,35
1,3,35
0,3,35
0,3,35
0,3,35
3,4,45
0,4,45
1,4,45
3,4,45
3,4,45
3,4,45
3,4,45
2,4,45
1,4,45
2,4,45
1,4,45
4,4,45
2,4,45
3,4,45
4,4,45
1,4,45
3,4,45
2,4,45
3,4,45
0,4,45
2,4,45
1,4,45
3,4,45
1,4,45
2,4,45
3,4,45
2,4,45
1,4,45
3,4,45
3,4,45
3,4,45
2,4,45
1,4,45
3,4,45
3,4,45
1,4,45
1,5,55
2,5,55
0,5,55
1,5,55
3,5,55
0,5,55
2,5,55
4,5,55
2,5,55
4,5,55
6,5,55
4,5,55
4,5,55
2,5,55
1,5,55
1,5,55
4,5,55
4,5,55
0,5,55
2,5,55
0,5,55
