rs,age
0,16
0,16
0,16
0,16
0,16
0,16
0,17
0,18
0,19
0,19
0,19
0,20
0,20
1,20
1,20
2,20
1,22
1,22
1,22
1,22
3,22
0,23
0,23
3,23
0,24
1,24
2,24
3,24
0,25
0,25
11,25
1,26
1,26
3,26
0,28
0,28
3,28
3,28
1,29
3,29
3,30
4,30
5,30
5,31
4,32
0,33
1,33
2,33
2,33
4,33
5,34
5,34
0,35
0,35
3,35
4,35
0,36
2,36
4,36
4,36
2,37
3,37
4,37
3,38
4,39
5,39
6,39
1,40
5,40
5,40
3,41
5,41
3,41.5
1,42
3,42
3,42
6,42
7,42
6,43
6,44
7,44
6,45
8,45
4,46
4,47
5,47
6,47
3,49
5,49
9,49
3,50
6,50
1,51
7,51
2,53
6,53
7,55
4,56
6,56
4,57
5,58
4,60
5,60
10,62
5,63
7,64
9,65
1,66
8,66
6,68
5,71
6,71
10,71
4,76
8,77
