rs,age
0,16
0,16
0,16
0,16
0,16
0,16
0,18
0,18
0,18
0,18
0,18
0,18
0,18
0,18
1,19
1,20
0,20
0,20
0,21
2,21
1,21
0,22
2,22
1,22
0,22
2,22
2,22
1,23
0,23
0,24
3,24
1,25
1,25
2,25
2,26
0,26
1,27
2,27
0,28
2,28
2,29
0,29
2,29
4,30
1,30
0,30
5,31
3,32
0,32
3,32
4,32
4,33
1,33
4,34
5,34
1,36
3,37
2,37
4,37
3,37
8,37
5,38
1,39
3,40
3,40
5,41
3,43
8,44
5,45
4,47
6,48
0,48
2,49
2,50
5,50
1,51
0,52
3,53
6,54
3,55
1,59
5,61
3,61
3,62
3,63
6,65
3,66
5,68
