rs,age
0,26
0,34
0,34
0,34
0,35
0,36
0,40
0,43
0,46
0,49
0,50
0,50
0,50
0,50
0,53
0,54
0,56
0,56
0,58
0,58
0,59
0,59
0,61
0,62
0,63
0,64
0,65
0,66
0,66
0,66
0,67
0,68
0,69
0,70
0,70
0,73
0,74
0,78
0,80
0,80
1,22
1,23
1,26
1,27
1,28
1,28
1,29
1,30
1,31
1,32
1,33
1,35
1,36
1,37
1,41
1,42
1,43
1,44
1,51
1,52
1,61
1,68
2,17
2,23
2,24
2,24
2,25
2,25
2,27
2,27
2,28
2,29
2,29
2,30
2,31
2,31
2,32
2,34
2,34
2,36
2,38
2,39
2,39
2,40
2,40
2,41
2,42
2,43
2,47
2,47
2,49
2,49
2,50
2,51
2,57
2,58
2,60
2,60
2,64
2,71
2,74
2,79
2,81
3,25
3,30
3,31
3,32
3,33
3,34
3,34
3,34
3,34
3,34
3,36
3,36
3,39
3,39
3,39
3,40
3,42
3,42
3,42
3,43
3,43
3,44
3,45
3,48
3,49
3,50
3,50
3,52
3,52
3,53
3,55
3,56
3,56
3,58
3,60
3,61
3,63
3,65
3,67
3,73
4,31
4,33
4,34
4,34
4,36
4,36
4,37
4,38
4,40
4,40
4,41
4,41
4,44
4,45
4,46
4,49
4,49
4,50
4,51
4,51
4,54
4,55
4,56
4,56
4,56
4,57
4,58
4,60
4,61
4,62
4,63
4,64
4,65
4,66
4,66
4,69
4,69
4,73
4,74
4,75
4,78
4,86
5,31
5,33
5,38
5,44
5,44
5,48
5,50
5,53
5,54
5,55
5,55
5,55
5,56
5,56
5,57
5,58
5,59
5,60
5,60
5,61
5,61
5,61
5,62
5,63
5,63
5,64
5,65
5,67
5,68
5,68
5,68
5,70
5,73
5,74
5,74
5,75
5,77
5,82
6,37
6,40
6,40
6,42
6,45
6,46
6,48
6,48
6,49
6,51
6,53
6,54
6,55
6,55
6,56
6,58
6,59
6,59
6,59
6,59
6,60
6,61
6,62
6,65
6,66
6,66
6,66
6,67
6,68
6,70
6,75
6,77
6,77
6,78
6,80
6,84
7,37
7,42
7,51
7,53
7,60
7,62
7,64
7,65
7,66
7,66
7,66
7,67
7,67
7,67
7,67
7,71
7,75
7,79
7,80
7,81
7,82
7,85
8,54
8,58
8,61
8,62
8,64
8,70
8,72
8,77
9,56
9,58
9,61
9,64
9,66
9,89
