rs,age
0,17
1,18
0,21
1,23
2,23
1,24
0,26
6,26
1,28
2,28
4,29
3,29
2,29
0,30
4,32
3,34
2,35
4,35
1,36
3,36
2,36
2,36
2,38
3,39
4,40
7,41
4,41
3,41
5,42
4,43
4,44
4,45
4,45
2,45
7,45
3,46
5,46
6,46
3,46
1,47
3,48
10,48
5,48
4,49
3,49
6,49
1,49
5,50
7,50
7,50
5,51
9,51
5,52
3,53
3,53
2,53
6,54
2,54
2,54
11,55
5,56
8,56
7,57
2,57
4,60
3,61
12,62
0,63
4,64
8,64
9,64
10,65
4,65
5,66
5,66
4,67
5,68
6,68
6,68
10,68
1,69
11,70
8,71
11,72
0,72
10,73
6,73
5,74
4,74
6,74
11,75
3,75
0,79
4,80
1,80
5,83
10,86
11,87
11,78
4,32
6,68
8,63
8,61
2,60
