rs,age
2,40
2,45
2,38
4,40
2,70
4,29
3,30
3,50
1,60
2,40
0,18
3,50
2,29
2,38
1,70
1,49
2,33
3,40
0,21
2,25
2,44
1,55
3,30
3,50
4,48
2,25
4,65
2,38
2,38
3,50
1,40
0,30
3,23
2,20
2,33
4,30
2,50
3,40
3,45
1,19
3,44
0,21
2,40
3,34
1,70
3,60
1,57
5,70
2,60
3,45
0,23
3,46
2,53
0,57
2,30
3,40
0,29
2,35
3,45
3,47
1,70
2,49
4,70
10,60
2,45
3,25
1,50
3,48
1,23
2,32
2,28
1,24
2,34
5,60
3,48
0,24
1,35
2,36
1,30
3,70
3,42
0,22
0,19
2,30
3,35
1,55
1,27
2,30
4,35
3,32
3,45
2,18
4,47
3,29
1,58
6,70
0,22
4,35
2,30
2,32
3,37
4,65
4,40
1,29
1,24
0,23
4,45
0,24
0,20
3,49
2,55
2,55
2,70
0,45
5,45
0,18
3,50
0,36
3,60
3,62
0,50
2,38
3,36
2,40
4,40
2,32
1,50
3,37
0,18
2,26
5,62
0,22
3,30
4,65
4,46
3,38
0,19
3,34
7,62
3,45
3,45
3,40
2,40
0,21
3,35
1,50
2,30
2,25
1,39
5,70
1,55
4,70
3,27
2,35
4,40
0,23
2,38
0,20
3,40
2,38
4,70
0,40
3,60
2,29
2,30
3,70
3,46
2,34
2,37
3,40
2,27
3,60
2,26
5,45
0,30
8,60
3,44
1,31
1,35
6,55
4,67
4,40
2,35
3,55
1,29
3,48
0,21
4,45
1,70
3,37
2,28
3,36
2,29
3,57
3,55
3,47
2,40
2,31
8,35
3,55
3,60
2,35
1,70
5,55
1,37
5,55
3,35
2,60
3,28
1,35
3,36
2,45
4,42
6,50
0,21
2,32
3,46
6,37
0,22
4,70
3,35
0,20
3,37
3,27
1,48
4,43
2,26
2,27
4,60
3,36
2,38
3,60
1,29
2,45
3,32
0,40
5,50
2,45
1,20
5,51
2,24
1,55
2,40
2,27
3,45
0,19
3,60
2,55
2,40
1,30
2,65
