rs,age
0,21
4,55
1,20
3,42
4,58
3,25
3,45
0,22
2,70
3,35
3,45
0,22
1,21
3,55
2,27
2,68
3,35
6,65
4,45
2,32
5,55
2,35
2,38
2,38
2,45
2,68
1,26
2,30
3,35
3,45
0,21
3,40
4,50
6,69
4,60
3,65
4,35
0,22
0,19
0,18
3,35
4,60
1,25
4,64
3,35
2,29
1,45
4,45
4,45
2,27
4,40
4,60
0,30
5,65
2,60
2,55
3,34
4,30
2,70
4,65
6,45
0,21
4,37
0,19
2,40
2,55
2,46
0,20
7,65
5,35
3,30
2,70
4,45
2,39
1,45
0,19
2,40
4,50
2,30
4,47
3,30
1,21
1,21
4,55
1,26
0,21
2,40
0,42
2,70
2,36
3,39
2,39
2,42
2,24
2,35
2,36
1,30
3,33
2,37
0,19
6,70
1,38
1,43
3,32
2,37
2,52
6,62
1,40
0,24
1,55
3,37
3,30
0,27
4,50
3,30
3,29
2,30
3,55
1,26
1,50
3,45
3,52
1,60
2,30
2,38
1,70
2,30
4,55
0,27
2,40
0,22
2,55
0,22
2,39
1,65
2,45
0,50
1,45
3,61
0,70
2,70
2,33
4,70
3,43
1,70
0,23
2,35
3,70
3,60
4,55
1,22
4,70
3,37
4,57
0,22
2,35
2,45
3,50
0,23
2,45
2,50
2,35
1,60
3,62
4,38
2,34
2,40
2,43
3,70
3,41
6,70
0,69
4,67
2,58
1,23
4,60
3,62
3,35
2,28
3,50
3,68
1,29
3,37
1,20
2,47
0,23
2,40
2,62
4,55
0,25
3,40
0,18
2,34
2,58
3,60
4,50
2,34
5,70
5,58
0,28
2,59
0,43
3,40
0,19
