rs,age
10,68
4,58
1,24
4,60
0,14
0,19
5,31
0,26
2,35
4,61
5,69
7,70
1,22
1,23
0,19
4,27
6,68
3,45
0,16
0,14
6,57
3,37
0,16
5,33
0,14
3,52
8,40
1,64
0,15
5,42
0,28
0,15
7,32
5,48
3,37
5,40
6,52
3,64
2,33
1,19
1,28
5,54
0,16
2,68
2,35
4,61
4,47
7,77
1,20
3,76
0,15
5,32
0,15
9,42
0,13
4,44
2,25
7,65
9,65
2,34
0,15
5,37
3,27
1,23
2,30
0,16
0,17
1,24
3,36
3,60
5,58
6,72
3,65
9,41
2,27
7,66
8,74
3,44
7,66
4,85
2,38
0,17
5,80
1,21
3,39
6,78
4,28
4,65
7,51
0,17
2,27
4,62
6,67
1,29
1,23
8,76
