rs,age
5,55
0,22
0,19
2,36
3,30
0,23
3,40
3,32
1,20
2,53
3,47
0,18
2,25
2,42
3,46
2,42
0,22
0,16
1,18
3,45
6,49
8,55
4,66
4,43
6,72
0,18
1,19
2,44
2,31
0,24
11,79
0,17
2,32
3,40
2,24
1,25
3,43
3,48
1,72
2,28
2,22
0,31
2,62
4,43
0,25
0,18
3,44
0,20
0,21
0,33
2,31
2,50
2,50
3,30
4,44
1,46
1,62
0,20
0,56
0,19
4,44
3,36
3,35
3,58
0,17
3,46
2,30
0,24
3,38
0,17
4,39
1,40
3,39
0,20
2,41
3,54
2,47
0,66
8,62
2,52
0,58
2,31
3,65
1,48
2,28
1,22
0,45
