rs,age
1,14
0,15
0,15
0,15
0,15
0,15
2,16
1,16
1,16
0,16
1,16
0,16
0,16
1,16
0,16
1,16
0,17
2,17
0,17
0,17
1,17
1,17
1,17
0,17
1,17
0,17
0,18
3,18
0,18
1,18
2,18
1,18
0,18
1,18
1,18
0,18
0,19
1,19
1,19
0,19
0,19
0,19
1,19
0,19
1,19
2,19
0,19
1,19
2,19
2,19
2,20
2,20
2,20
3,20
1,20
1,20
1,20
0,20
1,20
2,20
1,20
1,20
0,20
2,20
0,20
0,20
0,20
1,20
0,20
2,20
0,20
0,20
0,20
0,20
0,20
2,21
2,21
1,21
2,21
1,21
2,21
2,21
1,21
0,21
2,21
1,21
1,21
1,22
2,22
0,22
1,22
0,22
2,22
2,22
2,22
0,22
2,22
0,22
0,22
2,22
0,22
1,22
1,22
0,22
1,22
0,22
1,22
0,22
1,22
0,22
1,22
0,22
2,22
1,23
0,23
1,23
0,23
0,23
0,23
2,23
0,23
1,23
1,23
0,23
0,23
3,23
0,23
0,23
2,24
2,24
0,24
0,24
4,24
3,24
2,24
3,24
0,24
2,24
2,24
2,24
3,24
2,24
2,24
3,24
0,24
4,24
2,24
0,25
1,25
0,25
1,25
2,25
5,25
0,25
0,25
0,25
0,25
3,25
4,25
2,25
2,25
0,25
0,25
0,25
0,25
2,25
0,25
1,25
0,25
0,25
0,25
0,25
3,25
4,25
1,26
3,26
1,26
0,26
3,26
0,26
0,26
2,26
0,26
0,26
0,26
0,26
0,26
0,26
1,27
1,27
0,27
2,27
3,27
0,27
4,27
4,27
0,27
0,27
2,27
4,27
1,27
0,27
5,27
0,27
0,27
0,27
0,27
3,28
0,28
3,28
2,28
0,28
5,28
3,28
4,28
5,28
0,28
3,28
4,28
0,28
4,28
3,28
0,28
4,29
1,29
1,29
1,29
4,29
1,29
0,29
5,29
2,29
3,29
4,29
0,29
0,30
3,30
1,30
0,30
2,30
6,30
3,30
5,30
0,30
5,30
2,30
0,30
0,30
0,30
0,30
1,30
0,30
0,30
0,30
0,30
7,31
6,31
3,31
4,31
6,31
0,31
5,31
6,31
0,32
3,32
2,32
3,32
0,32
4,32
0,32
0,32
0,32
0,32
0,32
1,32
1,33
0,33
5,33
4,33
4,33
5,33
4,33
5,33
0,33
6,33
0,33
0,33
4,33
1,33
3,33
5,33
7,33
0,34
0,34
6,34
0,34
3,34
7,34
5,34
0,34
0,34
0,34
1,34
5,34
0,34
7,34
4,35
3,35
2,35
6,35
0,35
1,35
7,35
4,35
3,35
0,35
0,35
0,35
2,35
0,35
0,35
0,35
0,35
0,36
4,36
9,36
0,36
0,36
0,36
4,36
4,36
6,37
0,37
5,37
6,37
0,37
0,37
6,37
1,37
0,37
6,37
7,37
4,37
7,37
5,37
0,37
0,37
5,37
3,38
2,38
0,38
0,38
0,38
4,38
0,38
4,38
9,38
0,38
1,38
0,38
6,38
5,38
0,38
7,38
5,38
2,38
1,39
5,39
0,39
5,39
3,39
4,39
0,39
4,39
0,39
0,39
5,40
0,40
6,40
1,40
7,40
7,40
3,40
0,40
0,40
0,40
0,40
4,40
0,40
5,40
2,40
0,40
4,40
0,40
0,40
0,40
0,40
8,40
0,40
0,40
0,40
6,40
4,40
11,40
8,40
0,40
8,41
1,41
7,41
2,41
3,41
2,41
5,41
8,41
5,42
0,42
7,42
0,42
10,42
7,42
10,42
0,42
3,42
6,43
7,43
6,43
4,43
3,43
0,43
4,43
7,43
8,43
5,44
6,44
9,44
8,44
5,44
4,44
7,44
0,44
10,44
0,45
6,45
8,45
3,45
6,45
7,45
9,45
0,45
0,45
0,45
8,46
1,46
0,46
0,46
7,47
7,47
6,47
8,47
6,47
0,47
5,47
0,47
5,48
7,48
9,48
0,48
0,48
2,48
0,48
3,48
0,48
0,48
0,48
0,48
9,49
0,49
0,49
7,49
5,49
7,49
6,49
7,49
0,50
0,50
1,50
4,50
9,50
0,50
0,50
9,50
9,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
10,50
0,50
7,51
0,51
0,51
3,51
0,51
8,52
10,52
4,52
4,52
8,52
4,52
0,52
6,52
2,53
5,53
5,53
0,53
2,53
8,53
0,53
6,53
6,53
7,53
7,54
0,54
5,54
1,54
0,54
0,54
0,54
6,54
0,54
5,54
7,55
0,55
6,55
0,55
8,55
0,55
4,55
9,55
1,55
0,55
8,56
8,56
1,56
8,56
0,56
9,56
9,56
9,56
6,56
9,57
0,57
4,57
0,58
7,58
0,58
0,58
7,59
8,59
0,59
7,59
6,59
0,60
0,60
9,60
2,60
6,60
0,60
0,60
12,60
8,60
1,60
0,60
6,60
8,60
6,61
8,61
7,62
7,62
7,62
5,62
7,62
0,62
0,63
0,63
10,63
10,64
5,64
0,64
2,64
0,64
0,64
2,64
10,65
11,65
0,65
0,65
6,65
0,65
0,65
1,67
0,67
5,68
2,68
11,68
6,68
9,69
0,69
4,70
9,70
0,70
1,70
0,70
0,71
1,71
0,71
6,71
0,71
7,71
0,72
0,72
0,74
5,75
5,76
4,77
0,78
0,78
12,79
0,79
5,80
0,80
0,80
9,83
8,84
5,84
8,84
0,85
3,86
