rs,age
0,13
0,15
0,17
1,17
1,18
1,19
2,19
2,19
0,20
1,20
1,20
2,20
3,20
1,22
3,22
3,22
3,23
4,23
2,24
3,24
4,24
0,26
1,26
2,26
2,26
2,26
3,26
1,27
2,27
3,27
3,27
3,27
1,28
2,28
4,28
3,29
2,30
3,31
3,31
5,31
0,32
5,32
4,33
4,33
5,33
5,33
5,34
0,35
4,35
5,35
2,36
3,36
4,36
2,37
0,38
2,38
5,38
5,38
2,40
5,40
7,40
8,40
5,41
7,41
0,42
4,42
5,42
3,43
3,43
6,43
9,43
7,45
1,46
1,46
2,46
2,46
4,46
8,46
0,48
1,48
2,48
3,48
3,48
3,48
4,48
11,48
11,50
4,53
4,53
3,57
0,58
3,58
3,61
7,61
2,66
3,66
1,67
5,67
2,68
5,69
2,70
4,71
1,85
