age,rs
22,0
18,0
18,0
20,0
20,1
18,1
20,1
21,1
18,1
20,1
18,1
24,1
18,1
18,1
21,1
20,0
19,1
24,1
19,1
20,1
19,1
22,1
19,1
22,1
19,1
22,1
18,1
21,1
24,1
23,2
31,2
22,2
22,2
24,2
30,2
20,2
27,2
31,2
29,2
21,2
35,1
30,2
28,2
34,2
30,2
18,2
39,3
26,3
23,3
18,3
24,3
22,3
31,3
21,3
27,3
30,3
35,3
26,0
27,3
28,3
27,3
28,3
43,3
35,3
27,3
31,1
26,4
29,4
33,4
25,4
29,4
26,4
24,4
30,4
26,4
29,4
36,4
28,4
30,3
32,4
41,4
39,4
25,5
37,5
31,5
36,4
33,4
36,5
42,5
28,5
26,5
31,5
35,5
34,5
29,5
39,5
35,5
37,5
45,5
32,5
26,5
40,5
30,5
45,6
30,5
37,6
45,5
39,5
33,6
33,6
43,4
31,6
39,6
32,6
38,6
45,6
24,7
35,6
43,7
31,7
38,6
36,7
43,7
33,7
43,8
37,8
37,8
38,8
35,8
39,7
44,7
35,8
44,8
44,8
42,8
36,8
45,9
45,8
41,10
