rs,age
0,15
0,15
0,15
0,15
0,16
0,15
0,15
0,16
0,16
0,15
0,16
0,15
0,15
0,16
1,17
0,15
0,16
0,18
0,18
0,18
0,18
1,18
2,40
1,28
2,36
5,44
4,34
3,41
4,40
1,38
0,29
3,30
1,28
2,27
1,24
3,27
0,24
1,24
2,43
1,19
0,25
0,19
3,30
3,38
1,20
3,34
4,43
4,39
4,40
2,33
2,30
3,25
0,23
1,25
0,22
1,20
1,18
1,20
1,29
4,27
0,24
4,27
4,36
1,44
0,20
1,20
2,25
1,24
2,27
0,22
1,20
0,16
2,21
0,21
0,41
3,32
0,25
0,30
3,34
1,41
1,23
2,39
2,36
0,20
2,40
3,31
6,44
5,37
2,38
1,28
0,17
0,27
2,25
2,38
0,44
1,23
2,23
2,22
2,33
2,34
3,39
4,42
1,22
0,17
2,25
2,21
3,33
5,40
0,39
2,31
6,41
2,38
1,19
1,24
1,27
3,29
2,30
1,22
0,20
1,24
0,28
2,31
0,39
5,44
5,31
1,38
2,30
0,34
0,30
1,34
1,34
3,30
0,18
5,41
4,34
5,35
0,18
1,20
0,19
0,19
1,20
0,18
1,27
1,21
1,22
1,23
0,19
0,18
5,31
2,33
0,34
1,35
3,35
7,40
1,21
2,25
0,21
1,26
2,43
3,43
0,28
2,36
1,25
6,42
4,39
6,42
5,39
3,37
1,22
2,27
0,19
2,23
3,34
7,38
2,30
0,23
0,23
4,40
2,21
1,40
1,19
2,30
0,27
1,25
1,23
3,33
1,19
1,22
0,19
1,19
0,18
5,42
0,22
1,21
4,37
1,20
2,29
1,18
1,25
3,31
1,26
2,29
0,21
0,15
0,29
0,39
1,20
0,26
0,17
2,37
0,24
3,44
1,25
1,20
0,17
2,34
3,26
2,31
0,29
0,18
0,18
1,18
1,20
1,33
3,33
0,22
2,29
1,29
4,35
2,32
5,39
1,26
0,24
5,27
1,27
2,23
1,22
0,21
0,20
0,18
1,28
3,24
0,16
0,39
4,27
0,44
0,19
0,19
1,20
3,38
0,17
1,25
0,20
1,21
