age,rs
15,0
71,0
16,0
32,3
30,2
59,0
53,5
63,1
23,0
58,1
32,1
63,0
25,3
27,4
26,1
43,2
62,4
32,2
50,3
66,5
18,0
25,2
15,0
46,0
26,3
38,2
41,0
57,2
43,0
71,2
27,5
63,0
16,0
22,0
44,0
21,0
23,5
52,5
19,0
48,0
18,1
48,3
63,4
44,0
41,0
64,0
37,0
30,0
65,1
55,1
23,0
62,0
46,3
36,6
38,2
24,2
72,7
22,1
71,8
39,0
42,5
49,1
15,0
42,0
42,3
39,0
18,0
15,0
34,1
40,2
16,0
32,0
38,1
67,5
31,0
60,2
25,1
63,0
16,0
52,3
27,1
28,2
52,0
51,0
24,1
21,0
41,6
44,5
38,5
17,2
22,0
73,1
43,5
36,0
20,1
25,0
55,4
17,0
56,0
19,0
46,4
39,2
66,0
79,11
39,1
22,0
29,2
26,1
25,2
18,0
49,2
16,0
24,0
41,5
42,0
20,0
40,0
56,0
19,0
22,0
61,1
27,1
42,11
60,0
60,2
57,0
67,2
48,1
19,0
38,3
25,1
51,0
51,0
67,0
24,0
15,0
16,0
49,9
27,0
46,0
29,1
49,0
43,0
51,0
76,2
19,0
52,0
46,0
42,1
23,1
51,3
51,6
24,2
47,0
35,6
60,5
26,0
32,2
58,4
21,0
47,0
82,1
