age,rs
17,0
30,2
22,3
39,3
45,9
60,7
20,0
20,2
30,0
22,3
30,3
40,5
28,2
30,3
45,5
27,2
55,6
35,3
35,4
18,1
60,5
18,1
20,1
21,1
18,1
26,2
21,1
18,1
25,1
52,7
24,1
68,6
30,2
32,4
35,1
50,3
28,2
65,4
34,4
18,1
49,8
20,1
24,2
55,6
35,5
32,2
25,2
30,5
43,7
40,6
70,6
35,2
20,0
40,6
18,1
60,5
27,3
15,1
35,3
22,3
18,1
18,1
23,1
26,1
20,2
25,2
40,4
17,2
18,2
22,3
45,3
50,6
22,2
16,1
40,6
28,3
35,0
35,6
45,7
40,3
20,1
22,2
75,0
77,2
18,0
30,0
42,0
55,7
25,2
26,1
39,0
40,0
65,5
36,4
