rs,age
0,14
6,25
3,26
4,26
4,26
9,27
7,28
4,31
6,32
6,32
4,32
4,35
7,36
5,37
9,37
6,37
5,37
7,38
6,39
0,14
9,42
10,42
12,43
7,43
10,45
0,14
8,46
10,46
6,48
8,49
1,51
0,14
7,52
4,53
12,58
11,62
0,14
9,66
9,71
0,14
0,15
0,15
0,15
0,15
0,13
2,16
0,16
0,16
0,16
0,16
0,16
0,13
0,17
0,17
0,17
0,17
1,17
0,17
0,17
0,18
0,18
0,18
2,18
0,19
0,19
2,19
0,13
0,19
0,19
1,20
1,20
2,20
0,20
2,21
1,21
3,21
0,21
2,22
0,13
2,22
1,23
3,23
1,23
2,23
0,13
1,24
5,24
1,25
