rs,age
0,40
0,46
0,46
0,47
0,47
2,48
3,53
1,70
2,80
0,82
3,89
0,37
0,38
0,40
2,40
0,41
0,43
2,43
0,47
0,49
0,52
0,53
1,82
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,17
0,17
0,17
0,17
0,17
0,17
0,17
0,17
0,18
0,18
0,18
0,18
0,18
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,21
0,21
0,21
0,21
0,21
0,21
0,21
0,21
0,21
0,22
0,22
0,23
0,23
0,23
0,23
0,23
0,24
0,24
0,24
0,24
0,24
0,24
0,24
0,24
0,25
0,25
0,25
0,25
0,25
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,28
0,28
0,28
0,28
0,28
0,28
0,28
0,29
0,29
0,29
0,29
0,30
0,30
0,30
0,30
0,30
0,30
0,30
0,31
0,31
0,31
0,32
0,32
0,35
0,35
0,35
0,36
0,38
0,41
0,43
0,44
0,44
0,45
0,46
0,46
0,48
0,49
0,49
0,52
0,54
0,54
0,60
0,74
0,77
0,82
2,59
2,62
1,39
3,40
5,70
2,30
2,39
1,43
2,43
2,50
3,51
1,54
5,61
3,63
2,63
4,68
2,21
1,28
2,33
1,34
2,36
1,36
2,40
2,41
2,45
1,46
2,47
2,48
2,50
2,51
2,52
4,54
3,56
3,57
3,58
3,61
4,61
4,61
3,64
5,66
6,70
7,73
3,78
3,80
4,87
1,22
2,27
1,28
2,28
2,28
1,31
1,31
3,34
2,34
2,40
2,40
3,42
3,43
2,45
1,47
2,47
3,48
2,49
1,49
2,50
3,51
2,51
2,52
2,53
3,54
3,54
3,59
3,60
3,60
3,60
4,61
3,62
5,64
1,65
3,69
8,72
2,72
1,21
2,26
1,29
2,31
1,32
2,33
2,36
2,37
2,41
2,41
2,41
2,42
0,42
1,43
2,43
2,45
2,45
2,46
2,46
2,47
2,48
2,48
2,48
2,48
2,49
2,50
3,51
2,51
2,51
2,52
3,53
2,53
4,55
3,56
4,58
3,63
4,63
4,65
3,65
6,66
5,66
4,67
4,69
3,70
3,72
2,73
0,81
2,83
6,84
2,94
0,22
2,24
2,29
0,30
1,32
1,34
0,34
0,34
1,35
2,36
2,37
2,38
2,39
3,39
1,41
2,41
1,41
2,41
2,42
2,42
2,43
2,44
2,48
2,49
3,50
2,51
2,51
2,51
2,52
2,52
3,52
2,52
2,54
3,55
3,55
3,55
2,56
3,57
3,58
3,59
4,61
3,64
3,65
6,66
5,67
2,67
2,68
4,68
4,69
3,71
4,72
3,72
3,83
0,83
5,86
1,23
1,24
1,27
1,27
1,29
0,30
1,33
2,34
2,36
2,36
2,36
2,37
1,37
1,38
2,38
3,38
1,39
2,39
2,41
1,41
1,41
2,41
2,42
1,45
2,45
2,46
3,48
2,49
0,50
1,50
2,51
2,52
3,54
3,54
3,55
3,57
1,58
3,58
3,61
2,63
4,63
2,65
6,71
5,71
4,72
2,72
5,73
3,73
2,76
5,83
1,24
1,26
1,26
1,27
1,27
1,28
0,28
1,30
2,30
2,30
1,31
2,32
1,33
2,33
2,34
1,35
0,35
2,36
2,36
2,36
2,37
1,40
2,40
2,41
2,42
1,43
2,44
2,44
2,45
1,45
2,52
1,52
2,55
2,57
2,58
3,60
3,61
3,62
4,63
4,68
2,74
1,76
4,79
3,86
0,27
1,29
1,29
1,29
2,30
0,32
1,32
2,34
2,37
1,37
2,38
1,38
1,38
1,40
1,41
2,43
2,43
1,43
2,44
1,45
2,46
2,47
2,47
3,48
1,48
2,51
2,51
2,54
2,55
2,58
4,60
2,60
2,61
1,61
3,61
3,62
1,68
1,72
2,72
1,26
1,26
1,26
0,27
1,27
1,32
2,32
0,35
2,36
2,37
1,40
3,42
2,42
2,44
2,44
2,45
1,46
2,48
1,48
2,49
2,53
2,55
2,56
3,59
1,60
2,60
1,60
2,63
3,63
2,68
2,71
6,79
0,29
2,30
2,30
2,32
1,33
1,34
1,34
1,34
2,38
2,41
0,41
1,44
1,45
2,47
1,47
1,53
1,55
4,63
1,28
1,28
1,29
1,30
1,34
0,34
1,35
2,37
2,37
2,38
0,40
1,40
3,45
1,54
3,56
3,60
2,62
0,70
1,83
1,29
1,31
1,31
1,31
1,32
1,33
2,33
1,34
1,34
1,35
2,36
2,36
1,36
1,37
1,39
2,41
2,41
1,42
1,47
0,50
2,60
2,79
1,30
1,30
0,30
1,34
2,34
2,36
1,38
2,39
1,41
1,41
1,44
1,44
1,44
2,57
0,30
2,33
1,34
1,34
1,36
1,36
1,37
1,44
2,54
0,32
1,36
3,41
1,49
4,80
2,87
0,33
1,35
0,36
1,38
2,38
2,38
1,39
1,40
1,43
1,49
2,50
2,68
0,34
1,46
2,52
2,52
1,36
0,43
1,49
2,52
1,35
1,37
1,38
2,36
0,40
1,43
1,47
1,53
1,59
1,89
2,94
1,46
2,46
