rs,age
0,75
1,75
1,92
1,62
2,71
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,17
0,17
0,17
0,18
0,18
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,20
0,20
0,20
0,20
0,20
0,20
0,21
0,21
0,21
0,21
0,21
0,21
0,21
0,21
0,21
0,22
0,22
0,22
0,22
0,22
0,22
0,22
0,22
0,22
0,23
0,23
0,23
0,23
0,23
0,23
0,23
0,23
0,23
0,24
0,24
0,24
0,24
0,24
0,24
0,25
0,25
0,25
0,25
0,25
0,25
0,25
0,26
0,26
0,26
0,26
0,26
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,28
0,28
0,28
0,28
0,29
0,29
0,30
0,31
0,31
0,32
0,35
0,36
0,36
0,40
0,41
0,42
0,43
0,46
0,46
0,50
0,53
0,63
0,72
0,73
0,82
0,86
1,88
3,32
2,20
2,34
2,41
1,51
1,65
1,66
1,68
1,25
2,34
2,35
1,36
2,39
2,41
2,42
3,45
1,47
2,47
1,67
1,69
1,19
1,19
2,23
2,32
2,37
2,42
2,42
3,43
2,43
2,44
2,45
2,46
2,46
2,48
3,54
3,54
3,55
1,60
3,60
2,61
2,65
3,65
2,69
2,72
0,23
2,23
2,27
2,27
2,30
2,36
2,37
2,37
2,38
2,38
2,38
3,38
2,41
2,43
2,43
2,43
1,43
1,44
2,44
2,45
2,46
2,46
2,46
2,48
1,49
2,50
2,53
1,54
3,55
2,55
1,57
2,65
2,66
6,74
2,25
1,25
1,26
1,27
0,32
2,33
2,34
2,35
2,36
1,36
2,37
1,39
2,42
2,43
2,45
2,45
1,46
2,47
3,47
2,47
2,47
2,47
2,49
2,50
1,50
1,50
2,51
3,51
0,52
1,52
2,52
1,53
3,54
2,56
3,58
2,58
3,60
1,62
2,62
2,65
3,67
2,68
1,69
1,70
1,71
3,74
2,83
1,24
2,25
1,26
1,27
0,28
2,32
2,34
2,38
2,42
2,43
3,44
2,45
2,46
2,48
2,49
2,51
2,51
2,51
2,52
3,55
2,58
2,60
2,61
2,62
2,62
2,65
3,67
1,69
3,75
2,77
1,23
1,23
1,24
1,25
2,33
2,38
2,44
2,45
2,45
2,46
2,46
2,46
2,46
3,47
2,47
2,47
2,48
2,49
1,49
2,50
2,52
2,52
1,52
2,53
2,53
1,54
1,55
3,57
3,61
0,63
2,64
4,68
1,70
1,71
1,71
1,72
1,73
1,76
0,24
1,24
2,29
1,29
1,29
2,36
2,36
2,38
2,38
1,38
2,40
2,42
2,43
2,44
3,46
2,46
2,46
1,49
2,49
1,50
1,53
1,55
1,58
2,60
2,61
2,66
1,68
2,74
2,79
1,24
2,29
2,34
1,38
2,38
2,38
1,40
1,43
2,46
2,48
1,48
2,49
2,50
2,51
2,54
1,54
2,65
1,76
7,79
2,86
1,26
2,29
2,29
1,30
1,30
1,33
2,41
1,42
2,44
2,48
2,62
1,73
2,78
1,80
2,31
1,34
2,35
2,36
2,39
2,41
2,42
2,49
2,52
2,57
2,62
1,67
1,69
1,27
1,30
2,33
2,33
2,38
2,42
2,46
0,51
1,90
0,28
0,30
1,31
1,35
0,41
3,51
1,51
1,80
0,92
1,30
2,33
0,49
2,50
1,31
2,36
1,68
1,76
2,34
1,43
2,51
3,78
1,41
2,77
1,38
1,42
1,37
2,54
1,47
