rs,age
1,49
3,51
2,67
0,33
0,53
0,16
0,16
0,17
0,18
0,20
0,20
0,21
0,23
0,24
0,24
0,25
0,25
0,30
0,31
0,49
0,49
0,71
3,53
6,78
2,34
2,42
2,44
3,66
2,72
3,73
0,20
3,41
2,45
2,47
1,29
2,41
2,42
2,55
2,60
0,60
3,61
1,77
4,79
2,33
2,34
1,33
1,41
2,46
2,51
4,65
2,28
2,29
2,32
2,34
2,40
1,53
2,58
2,30
1,41
1,45
3,60
2,69
1,31
2,50
3,73
1,28
1,29
1,32
3,66
4,82
1,33
1,39
2,52
1,37
3,77
3,79
1,31
2,59
1,34
1,33
1,43
1,79
1,43
1,87
0,48
0,20
