age,rs
12,0
12,0
12,0
12,0
12,0
12,0
13,0
13,1
13,1
13,1
13,0
13,1
14,1
14,2
14,0
14,0
14,0
14,3
14,0
14,0
14,1
14,3
14,2
15,0
15,2
15,2
15,2
15,1
15,1
16,0
16,1
16,2
16,1
16,0
16,0
16,0
16,0
17,1
17,0
17,1
17,2
17,3
17,1
17,2
17,2
17,0
17,0
17,3
17,2
17,2
18,1
18,2
18,1
18,2
18,2
18,0
18,2
18,0
18,0
18,1
18,0
18,2
18,2
18,1
18,2
19,6
19,5
19,0
19,2
19,4
19,0
19,0
19,3
19,2
19,4
19,3
19,1
20,4
20,0
20,2
20,2
20,4
20,0
20,2
20,0
20,1
20,2
21,3
21,5
21,1
21,4
21,2
21,4
21,5
21,0
21,4
21,2
21,3
21,0
21,0
21,0
21,2
22,6
22,3
22,0
22,2
22,6
22,2
22,1
22,5
22,0
22,5
22,6
23,4
23,5
23,1
23,9
23,6
23,5
23,0
23,0
24,4
24,5
24,4
24,8
24,7
24,4
24,5
24,1
24,0
24,0
24,2
24,1
24,5
24,3
24,0
25,6
25,0
25,5
25,2
25,7
25,2
25,1
25,2
25,0
25,5
26,7
26,0
26,3
26,3
26,6
26,4
26,6
26,0
26,3
26,5
26,6
27,7
27,5
27,9
27,4
27,3
27,4
28,6
28,0
28,2
28,4
28,7
28,5
28,4
28,3
28,4
29,4
29,2
29,2
29,4
30,2
30,10
30,7
30,4
30,8
30,6
30,0
30,6
30,7
31,4
31,3
31,3
31,2
31,4
32,7
32,4
32,4
32,5
32,7
33,6
33,6
34,0
34,4
35,9
35,7
35,11
35,0
35,7
35,7
36,10
36,0
36,5
36,11
36,8
36,1
36,10
37,2
37,7
37,3
38,6
38,6
38,7
38,8
38,2
38,8
39,2
39,9
40,10
40,6
40,9
40,9
40,1
40,6
41,6
41,3
41,7
41,7
41,3
42,4
42,10
42,6
42,4
42,1
43,10
43,9
43,12
45,13
45,11
45,11
45,9
45,10
45,11
46,10
46,5
46,9
47,0
47,0
49,5
50,10
50,11
51,1
51,9
51,3
51,7
51,2
51,8
51,7
51,0
52,0
52,7
52,0
53,6
53,13
53,8
54,8
54,5
54,0
54,8
55,9
56,3
56,6
56,6
56,10
57,0
57,5
58,4
58,6
58,5
58,8
58,0
59,5
59,7
60,2
60,6
60,0
60,1
62,4
62,11
63,9
63,2
63,2
65,9
65,1
66,5
66,4
67,7
67,4
68,8
68,1
71,6
71,6
71,4
72,1
72,3
73,10
74,1
75,1
77,0
78,9
82,7
