age,rs
20,0
20,0
20,0
20,0
20,0
20,0
21,0
22,0
23,0
24,1
24,0
25,1
25,0
25,1
26,0
26,1
27,0
27,1
27,1
29,1
30,0
31,2
31,1
31,2
32,2
33,0
33,2
34,6
34,1
35,4
36,3
36,3
37,1
37,2
37,2
37,1
37,1
38,2
38,1
38,0
38,3
38,2
39,2
39,2
41,3
41,2
41,4
42,3
42,3
42,2
42,0
42,1
43,1
43,3
44,2
44,3
45,2
45,2
46,6
46,1
47,5
47,0
47,2
48,5
49,4
50,2
51,1
51,1
51,3
52,2
52,3
52,4
53,4
54,5
54,4
56,7
56,4
57,1
58,6
58,0
58,3
60,1
60,1
62,1
66,1
67,4
68,1
69,3
70,3
74,4
76,3
78,2
