age,rs
20,0
20,0
20,0
21,0
21,0
21,0
22,0
23,1
23,1
23,1
23,0
23,0
23,0
24,0
24,0
24,0
24,0
25,2
26,0
27,0
28,1
28,2
28,2
29,3
29,1
29,2
30,2
32,1
33,2
34,1
35,1
35,1
36,0
36,2
36,3
36,4
37,3
38,6
38,2
38,6
39,5
40,7
40,2
40,1
40,2
42,6
42,1
43,2
43,4
44,1
44,4
45,8
46,4
47,4
48,1
48,6
49,5
50,2
50,10
50,1
51,6
52,2
52,4
52,5
53,3
56,3
57,0
58,2
59,1
60,1
62,1
62,8
63,3
65,1
67,9
69,3
74,3
75,7
75,0
75,3
78,5
82,2
