rsraw,rs
2,2
4,4
2,2
8,8
10,10
8,8
24,24
11,11
17,17
11,11
10,10
20,20
7,7
8,8
13+,13
4,4
5,5
10,10
3,3
11+,11
6,6
1,1
2,2
8,8
2,2
6,6
3,3
1,1
12,12
6,6
10,10
12,12
5,5
17,17
8,8
12,12
8,8
13+,13
6,6
5,5
7,7
3,3
4,4
14,14
6,6
5,5
8,8
9,9
5,5
2,2
8,8
6,6
4,4
11,11
16,16
11,11
1,1
10+,10
2,2
6,6
2,2
4,4
15,15
10,10
8,8
4,4
6,6
10,10
11,11
2,2
5,5
2,2
6,6
16,16
6,6
5,5
16,16
10,10
22,22
11,11
11,11
10,10
13,13
15,15
16,16
13,13
8,8
10+,10
11,11
6,6
11,11
10,10
10,10
9,9
4,4
1,1
13,13
10,10
13,13
2,2
9,9
5,5
18,18
8,8
10,10
13,13
7,7
9,9
2,2
6+,6
11,11
16,16
5,5
8,8
0,0
1+,1
4,4
16,16
11,11
5,5
8,8
10,10
5,5
3+,3
7,7
12,12
3,3
2,2
6,6
