rs,age
3,65
10,64
11,52
7,41
4,56
4,56
5,52
0,22
5,42
5,42
2,31
4,34
11,67
10,59
3,31
3,40
10,80
6,49
6,49
0,20
6,42
6,42
0,18
8,66
2,37
2,37
5,35
5,35
5,54
4,54
1,26
1,26
3,40
3,38
3,38
0,20
9,55
2,22
2,22
3,58
0,27
0,33
0,33
0,32
0,38
8,46
3,29
3,29
0,21
0,21
0,21
11,68
3,36
2,33
3,38
2,28
2,25
6,38
6,43
6,60
2,46
4,51
1,29
1,29
4,29
4,29
0,25
0,33
10,58
0,22
3,44
3,44
0,30
0,19
0,21
3,33
3,33
5,32
5,32
4,31
4,31
0,35
0,24
0,27
0,29
2,32
2,32
6,50
6,50
4,37
4,37
0,20
0,18
4,50
1,29
0,19
0,18
5,49
0,18
5,70
1,54
3,84
3,44
2,38
0,18
2,29
2,29
6,38
0,18
6,54
6,54
3,38
3,38
12,67
2,30
0,22
0,20
0,43
0,30
0,25
0,24
4,50
0,36
0,41
4,45
4,45
5,64
3,49
0,48
0,40
0,36
0,34
0,30
0,25
0,23
0,31
2,34
2,34
3,35
2,31
2,31
1,25
0,28
5,42
5,42
0,39
0,36
0,18
2,26
2,26
2,32
2,32
5,33
4,38
0,22
0,18
0,42
0,21
0,21
0,18
0,28
0,30
0,22
1,24
0,23
2,50
0,22
0,30
1,33
0,19
0,22
0,22
0,24
0,20
0,28
0,27
0,19
