age,rs
40,2
47,0
35,3
36,4
55,3
70,3
50,2
72,3
39,7
26,0
45,2
60,3
25,2
70,3
30,0
57,6
22,0
25,0
32,3
53,14
60,1
42,3
27,3
47,0
43,5
40,5
31,5
80,2
27,2
41,5
29,3
57,0
21,0
45,1
41,0
28,0
24,0
50,11
70,10
28,1
45,12
25,0
23,0
60,13
41,7
65,0
23,1
30,5
67,15
53,1
37,0
38,0
35,3
26,1
33,0
44,0
28,0
65,6
24,0
40,5
24,0
28,0
22,1
41,1
21,0
40,4
23,0
53,8
36,1
29,3
42,0
63,13
47,2
32,6
42,9
36,1
57,2
65,10
26,3
41,6
25,0
42,3
47,0
39,2
40,4
49,9
57,9
27,0
27,0
40,6
55,5
30,3
28,5
24,0
48,8
57,0
22,0
62,3
27,0
36,3
28,1
26,1
70,10
51,0
60,5
23,1
39,2
33,0
52,5
63,0
47,6
26,0
52,7
55,7
38,7
31,0
41,11
51,8
60,12
50,0
67,4
46,0
72,10
65,4
38,5
43,10
41,4
65,2
40,5
34,1
32,5
44,1
38,0
23,2
20,0
52,10
26,2
32,6
56,8
40,7
31,4
28,0
22,0
34,0
28,2
44,1
47,6
60,11
44,10
38,0
37,5
46,9
55,4
36,0
41,8
48,6
70,3
23,0
80,17
57,0
38,7
21,0
43,0
45,4
42,0
33,1
60,0
32,0
32,0
30,0
55,12
45,1
34,4
21,0
20,0
34,1
28,1
27,0
27,0
29,2
22,0
38,2
28,4
20,0
28,3
22,0
35,3
23,0
73,5
24,0
58,1
62,5
46,0
68,7
25,2
46,3
77,4
83,2
47,0
74,8
59,2
55,4
34,8
76,5
60,0
66,4
42,4
59,6
68,16
68,6
39,5
51,7
29,0
52,0
82,6
70,5
76,5
80,2
63,9
72,5
38,3
57,6
67,0
