age,rs
20,0
20,0
21,0
21,0
22,0
22,0
22,0
22,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
24,0
24,0
24,0
24,0
24,0
25,0
25,0
25,0
25,0
25,0
25,0
25,0
25,0
26,0
26,0
26,0
27,0
27,0
28,0
28,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
31,0
38,0
38,0
38,0
38,0
38,0
38,0
38,0
38,0
38,0
38,0
38,0
38,0
38,0
38,0
38,0
38,0
38,0
38,0
38,0
39,0
42,0
46,0
46,0
46,0
46,0
46,0
46,0
46,0
46,0
46,0
46,0
46,0
46,0
46,0
46,0
46,0
46,0
46,0
46,0
46,0
47,0
53,0
53,0
53,0
53,0
53,0
53,0
53,0
53,0
53,0
53,0
53,0
53,0
53,0
53,0
53,0
53,0
53,0
53,0
56,0
56,0
56,0
56,0
56,0
56,0
56,0
56,0
56,0
56,0
56,0
62,0
65,0
65,0
65,0
65,0
76,0
21,1
21,1
22,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
24,1
24,1
24,1
24,1
24,1
24,1
24,1
24,1
25,1
25,1
25,1
25,1
25,1
25,1
25,1
25,1
25,1
26,1
26,1
26,1
26,1
26,1
27,1
27,1
28,1
29,1
29,1
29,1
29,1
29,1
29,1
29,1
29,1
29,1
29,1
30,1
30,1
30,1
31,1
31,1
31,1
32,1
33,1
33,1
33,1
35,1
38,1
47,1
21,2
21,2
22,2
22,2
22,2
22,2
22,2
22,2
23,2
23,2
23,2
24,2
24,2
25,2
25,2
25,2
25,2
26,2
26,2
26,2
26,2
26,2
26,2
26,2
26,2
26,2
26,2
27,2
27,2
27,2
27,2
27,2
27,2
27,2
27,2
27,2
27,2
28,2
28,2
28,2
29,2
29,2
29,2
29,2
29,2
29,2
29,2
29,2
29,2
29,2
29,2
30,2
30,2
30,2
30,2
30,2
31,2
31,2
31,2
31,2
32,2
32,2
33,2
33,2
33,2
33,2
34,2
34,2
35,2
35,2
35,2
36,2
36,2
38,2
40,2
43,2
45,2
71,2
86,2
22,3
22,3
22,3
23,3
23,3
23,3
24,3
25,3
25,3
25,3
25,3
26,3
26,3
26,3
26,3
26,3
27,3
27,3
27,3
27,3
27,3
27,3
27,3
27,3
28,3
28,3
28,3
28,3
28,3
29,3
29,3
29,3
29,3
29,3
29,3
30,3
30,3
31,3
31,3
31,3
32,3
32,3
32,3
32,3
32,3
33,3
33,3
34,3
34,3
35,3
35,3
36,3
36,3
37,3
37,3
37,3
37,3
38,3
38,3
38,3
38,3
44,3
55,3
62,3
70,3
82,3
86,3
26,4
27,4
27,4
28,4
28,4
29,4
29,4
29,4
30,4
30,4
30,4
31,4
31,4
31,4
31,4
31,4
31,4
31,4
32,4
32,4
32,4
33,4
33,4
33,4
33,4
33,4
33,4
33,4
34,4
34,4
34,4
34,4
34,4
34,4
35,4
35,4
35,4
35,4
35,4
35,4
35,4
35,4
35,4
35,4
35,4
36,4
37,4
37,4
38,4
38,4
38,4
38,4
40,4
41,4
41,4
42,4
42,4
43,4
44,4
48,4
54,4
71,4
27,5
29,5
29,5
29,5
30,5
30,5
31,5
31,5
31,5
31,5
31,5
31,5
32,5
32,5
32,5
33,5
33,5
33,5
33,5
33,5
33,5
33,5
33,5
33,5
33,5
34,5
34,5
34,5
34,5
34,5
34,5
34,5
35,5
35,5
35,5
35,5
36,5
36,5
37,5
37,5
37,5
38,5
39,5
39,5
39,5
39,5
40,5
41,5
42,5
45,5
48,5
51,5
52,5
53,5
54,5
54,5
54,5
55,5
59,5
59,5
59,5
60,5
65,5
66,5
66,5
71,5
71,5
71,5
73,5
79,5
33,6
33,6
33,6
34,6
34,6
34,6
34,6
35,6
35,6
36,6
36,6
36,6
36,6
37,6
37,6
38,6
38,6
38,6
39,6
40,6
40,6
40,6
41,6
41,6
42,6
42,6
43,6
43,6
44,6
44,6
45,6
46,6
47,6
47,6
47,6
48,6
53,6
56,6
57,6
59,6
64,6
71,6
73,6
79,6
30,7
31,7
31,7
