age,rs
26,0
23,0
18,0
23,0
20,0
17,0
23,0
23,0
21,0
30,0
26,0
16,0
14,0
22,0
29,0
27,0
25,0
21,0
17,0
15,0
13,0
23,0
15,0
17,0
15,0
19,0
20,0
22,0
30,0
14,0
16,0
22,0
31,0
22,0
14,0
20,0
15,0
19,0
21,0
24,0
20,0
15,0
15,0
29,0
25,0
23,0
18,0
16,0
12,0
23,0
18,0
30,0
22,0
19,0
15,0
21,0
13,0
25,0
28,0
16,0
21,0
20,0
17,0
15,0
12,0
20,0
19,0
17,0
25,0
23,0
13,0
15,0
19,0
17,0
14,0
25,0
22,0
20,0
17,0
14,0
18,0
21,0
16,0
27,0
29,0
23,0
21,0
14,0
22,0
17,0
18,0
46,0
25,0
15,0
15,0
31,0
23,0
15,0
24,0
21,0
22,0
29,0
25,0
25,0
24,0
22,0
17,0
14,0
13,0
24,0
18,0
17,0
14,0
20,0
31,0
18,0
14,0
22,0
35,0
15,0
13,0
15,0
13,0
26,0
14,0
27,0
35,0
32,0
29,0
20,0
23,0
16,0
16,0
15,0
23,0
31,0
23,0
18,0
24,0
13,0
17,0
20,0
41,0
29,0
16,0
13,0
23,0
14,0
20,0
15,0
22,0
17,0
14,0
18,0
22,0
24,0
19,0
17,0
21,0
61,0
16,0
13,0
14,0
25,0
27,0
14,0
31,0
21,0
16,0
13,0
14,0
14,0
13,0
24,0
15,0
12,0
13,0
39,0
18,0
18,0
14,0
33,0
24,0
13,0
38,0
22,0
16,0
15,0
39,0
23,0
17,0
14,0
47,0
46,0
17,0
15,0
26,0
24,0
23,0
21,0
18,0
14,0
27,0
16,0
21,0
18,0
17,0
29,0
25,0
23,0
21,0
31,0
22,0
21,0
38,0
31,0
26,0
21,0
20,0
17,0
16,0
14,0
16,0
14,0
13,0
13,0
34,0
15,0
20,0
41,0
16,0
21,0
18,0
23,0
15,0
17,0
16,0
14,0
19,0
17,0
15,0
14,0
19,0
16,0
47,0
12,0
19,0
14,0
53,0
12,0
16,0
14,0
37,0
36,0
21,0
19,0
12,0
17,0
13,0
13,0
13,0
13,0
16,0
15,0
27,0
20,0
24,0
17,0
24,0
22,0
20,0
17,0
20,0
15,0
26,0
22,0
14,0
15,0
13,0
13,0
21,0
14,0
12,0
22,0
17,0
17,0
65,0
13,0
21,0
21,0
14,0
22,0
32,0
15,0
17,0
19,0
62,0
41,0
38,0
17,0
15,0
13,0
13,0
16,0
12,0
28,0
18,0
13,0
14,0
22,0
18,0
21,0
16,0
22,0
18,0
13,0
13,0
16,0
15,0
66,0
23,0
13,0
13,0
18,0
20,0
16,0
14,0
15,0
19,0
13,0
47,0
14,0
19,0
15,0
16,0
19,0
15,0
27,0
38,0
53,0
20,0
13,0
25,0
16,0
12,0
14,0
29,0
15,0
20,0
43,0
29,0
31,0
18,0
26,0
24,0
25,0
21,0
17,0
15,0
17,0
15,0
28,0
19,0
16,0
13,0
27,0
36,0
28,0
27,0
18,0
16,0
13,0
21,0
19,0
18,0
12,0
20,0
32,0
29,0
30,0
14,0
15,0
31,0
27,0
13,0
25,0
21,0
17,0
15,0
19,0
18,0
26,0
53,0
15,0
25,0
19,0
16,0
29,0
23,0
21,0
30,0
15,0
22,1
24,1
27,1
31,1
31,1
33,1
33,1
29,1
37,1
25,1
47,1
55,1
54,1
32,1
36,1
36,1
32,1
37,1
26,1
29,1
27,1
51,1
38,1
41,1
32,1
27,1
68,1
51,1
20,1
50,1
37,1
34,1
41,1
49,1
35,1
43,1
30,1
49,1
33,1
37,1
32,1
39,1
30,1
37,1
39,1
45,1
26,1
31,1
31,1
28,1
33,1
30,1
31,1
29,1
33,1
28,1
37,1
28,1
49,1
31,1
32,1
36,1
32,1
38,1
31,2
27,2
34,2
44,2
39,2
27,2
34,2
41,2
37,2
32,2
42,2
45,2
42,2
62,2
23,2
35,2
50,2
31,2
90,2
34,2
43,2
41,2
32,2
39,2
39,2
40,2
41,2
42,2
33,2
41,2
32,2
38,2
53,2
38,2
32,2
35,2
28,2
52,2
40,2
31,2
33,2
33,2
39,2
32,2
32,2
34,2
31,2
30,2
27,2
72,2
35,2
37,2
31,2
38,2
34,2
35,2
27,2
26,2
31,2
32,2
38,2
29,2
27,2
30,2
31,2
29,3
35,3
36,3
45,3
60,3
46,3
38,3
67,3
52,3
57,3
38,3
83,3
31,3
34,3
54,3
48,3
42,3
50,3
57,3
37,3
42,3
36,3
77,3
36,3
63,3
41,3
42,3
