age,rs
24,1
25,2
26,2
28,3
29,0
30,3
32,2
33,4
34,1
34,0
35,0
36,5
37,4
37,1
37,1
37,1
39,2
40,2
40,0
41,1
41,0
41,3
42,6
42,5
42,1
42,4
43,4
43,4
43,0
44,4
44,2
44,5
44,1
44,0
45,5
45,4
45,0
46,6
46,2
46,3
47,0
47,10
47,0
47,0
47,1
48,1
48,5
48,1
49,2
49,3
49,1
49,0
49,1
49,0
49,0
49,0
49,3
49,1
50,3
50,7
50,1
51,7
51,10
51,0
51,2
51,0
51,0
51,1
51,2
51,0
52,1
52,3
52,4
52,0
52,7
52,2
52,0
52,1
52,1
52,0
52,1
53,5
53,6
53,1
53,3
53,1
53,0
54,7
54,3
54,1
54,0
54,2
54,3
54,0
54,3
54,0
54,1
54,2
55,0
55,1
55,0
56,4
56,3
56,4
56,1
56,3
57,3
57,7
57,3
57,1
57,2
57,2
57,1
57,0
58,2
58,5
59,3
59,3
59,0
59,4
59,3
60,6
60,4
60,0
60,3
60,4
60,3
61,7
61,2
61,4
61,0
61,5
61,2
61,1
61,5
62,6
62,5
62,2
62,4
62,3
63,7
63,7
63,6
63,5
63,3
63,3
63,3
63,3
63,1
63,4
63,2
63,4
63,2
63,4
64,2
64,7
64,7
64,5
64,4
64,4
65,6
65,5
65,0
65,4
65,6
65,4
65,1
65,4
65,6
65,4
65,5
65,3
65,2
66,6
66,6
66,4
66,3
66,2
66,0
66,3
66,1
67,7
67,5
67,4
67,6
67,4
67,4
67,6
67,7
67,3
67,7
67,6
67,2
67,4
67,4
67,5
67,5
68,5
68,8
69,4
69,7
69,6
69,5
69,5
69,6
69,0
69,3
69,5
69,0
69,7
69,6
69,1
69,6
70,3
70,0
70,9
70,6
70,0
70,6
70,7
70,4
70,0
70,4
71,0
71,2
71,7
71,4
71,5
71,4
71,3
71,5
71,3
71,4
72,4
72,7
72,5
72,7
72,3
73,7
73,9
73,2
73,6
73,7
73,7
73,4
73,9
73,3
73,0
73,2
73,8
73,4
73,6
73,5
73,5
74,8
74,3
74,2
74,5
74,9
74,9
74,7
74,9
75,4
75,6
75,9
75,0
75,0
75,6
76,8
76,4
76,7
76,5
76,8
76,8
76,7
76,10
76,5
76,8
76,3
76,8
76,7
76,4
76,4
77,5
77,0
77,7
77,2
77,0
78,11
78,5
78,7
79,5
79,2
79,6
79,9
79,7
79,5
80,9
80,6
81,6
81,8
81,8
81,7
81,4
81,5
81,7
81,3
81,0
81,3
82,7
83,4
83,9
83,9
83,8
83,9
83,3
83,10
83,3
83,4
83,7
83,3
84,3
84,7
84,6
84,2
84,9
85,6
85,6
85,3
85,6
85,7
86,5
86,2
86,12
86,1
86,4
87,6
88,9
88,13
88,8
89,3
89,3
