age,rs
22,0
23,0
18,0
18,0
18,0
19,0
20,0
20,0
18,0
25,0
20,0
20,0
19,0
18,0
18,0
19,0
19,0
22,0
18,0
23,0
23,0
20,0
22,0
18,0
18,0
17,0
24,0
21,0
21,0
26,0
28,0
20,0
22,0
19,0
21,0
22,0
22,0
21,0
22,0
22,0
25,0
20,0
18,0
27,1
28,2
28,2
37,2
26,3
100,3
32,4
30,4
67,4
35,4
34,5
37,6
35,6
35,6
35,6
30,6
65,6
35,6
50,6
106,6
31,6
72,7
60,7
45,7
39,7
37,7
26,7
59,7
60,7
46,8
40,8
53,9
50,9
46,9
45,10
57,10
42,12
38,12
70,12
