age,rs
20,0
21,0
24,0
25,0
25,0
26,0
31,0
33,0
24,1
26,1
30,1
32,1
33,1
33,1
38,1
22,2
28,2
30,2
32,2
35,2
36,2
38,2
30,3
40,3
42,3
49,3
55,3
65,3
25,4
33,4
35,4
37,4
38,4
40,4
44,4
45,4
48,4
55,4
57,4
38,5
39,5
39,5
40,5
41,5
43,5
45,5
50,5
74,5
35,6
35,6
38,6
38,6
48,6
65,6
70,6
36,7
37,7
41,7
41,7
45,7
48,7
35,8
35,8
72,8
40,9
45,9
50,9
54,9
65,9
68,9
78,9
40,10
41,10
47,10
47,10
49,10
60,10
40,11
41,11
45,11
49,11
70,11
47,12
60,12
75,12
45,13
45,13
55,13
57,13
65,13
67,13
77,13
50,14
52,14
65,14
42,15
51,15
57,15
39,16
42,16
48,16
45,17
63,17
65,17
58,18
48,19
50,19
65,19
75,19
45,20
49,20
50,20
60,20
66,20
71,20
58,21
56,22
60,22
60,22
42,23
57,23
60,23
65,24
65,24
57,26
60,26
83,26
67,27
65,29
65,29
80,29
70,32
74,32
