age,rs
20,0
27,0
20,0
25,0
22,0
19,0
22,0
19,0
20,0
18,0
19,0
26,0
18,0
20,0
22,0
20,0
18,0
24,0
20,0
18,0
19,0
20,0
24,0
18,0
25,0
25,0
22,0
20,0
22,0
30,1
32,1
21,1
20,1
25,2
25,2
40,2
28,2
23,2
50,3
35,3
75,3
23,3
35,3
35,3
30,3
60,3
50,3
35,4
35,4
35,4
35,4
35,4
110,4
40,4
120,5
55,5
40,5
40,5
75,5
42,5
37,5
45,5
50,5
55,5
40,5
60,5
30,5
45,5
35,5
35,6
45,6
46,6
30,6
78,6
70,6
35,6
50,6
40,6
45,7
35,7
42,7
40,7
45,7
50,8
40,8
