age,rs
22,0
34,8
34,3
40,8
46,10
48,7
50,2
55,4
55,4
55,3
60,9
60,10
60,7
61,8
62,5
62,7
62,4
62,6
64,2
65,6
67,7
69,5
70,6
70,5
70,7
71,7
71,3
72,4
72,6
72,8
72,3
72,8
72,10
74,7
75,9
75,10
78,4
79,3
80,2
80,2
80,4
80,3
80,3
80,6
80,6
81,3
81,5
81,3
82,4
82,6
82,4
82,6
83,5
84,8
84,10
85,6
85,5
86,3
86,4
87,3
88,6
88,6
89,4
90,6
90,2
90,4
90,5
90,5
90,7
90,8
43,3
52,6
54,8
59,3
59,5
59,3
60,5
61,6
64,9
64,9
66,6
68,8
71,6
72,2
73,3
74,5
74,6
75,3
76,6
76,5
77,2
77,7
81,4
81,10
82,9
83,6
84,5
84,6
84,4
86,3
87,4
87,8
88,4
89,6
89,6
89,10
89,5
89,6
89,3
89,5
89,4
89,2
38,3
43,5
43,5
47,7
48,6
48,7
48,7
48,7
48,3
48,7
51,4
52,6
53,3
56,2
56,7
60,6
60,5
60,5
60,6
61,2
62,5
64,3
64,4
66,0
67,3
67,3
67,3
68,4
69,9
70,2
70,4
70,9
70,11
71,9
72,3
74,2
74,6
76,11
76,2
76,4
76,4
77,2
77,2
78,3
78,6
79,4
80,7
80,2
81,5
81,8
82,4
82,5
82,2
82,7
82,7
83,4
83,2
83,4
84,5
85,3
85,4
86,3
86,3
86,4
87,5
87,3
88,4
88,5
88,8
88,8
88,8
88,0
88,8
88,8
88,5
36,3
47,5
52,3
53,9
58,4
59,6
60,6
61,8
62,6
62,8
62,3
62,2
64,7
64,4
66,4
66,6
67,8
71,3
72,5
72,10
73,4
74,3
74,11
74,2
75,2
76,7
77,8
77,3
78,8
78,8
78,7
78,7
79,8
79,3
79,3
80,7
80,5
81,2
82,2
82,3
82,4
82,5
82,7
82,2
83,7
83,3
83,3
86,5
86,5
86,12
86,6
87,3
87,3
87,4
87,4
87,4
87,7
87,10
87,2
87,7
87,7
18,0
46,4
46,4
46,7
46,5
47,0
53,6
54,11
57,1
57,4
58,3
60,3
60,0
61,4
61,7
61,4
63,5
63,2
64,4
64,9
64,4
65,5
66,8
66,6
69,4
70,6
70,7
71,2
72,7
73,3
74,6
74,5
74,3
75,1
75,5
75,8
76,9
76,9
76,3
76,2
76,9
77,6
78,8
80,0
81,2
81,3
81,5
82,8
84,4
84,8
85,6
85,7
85,7
85,7
85,10
85,12
85,4
85,3
85,4
86,4
86,5
86,7
86,7
86,2
86,4
86,7
86,5
86,4
86,3
86,6
86,4
86,5
19,0
23,0
26,3
38,5
44,0
47,12
51,1
51,3
52,9
53,2
54,5
55,5
56,3
57,3
57,4
57,5
58,1
60,11
60,4
60,4
60,4
62,4
62,8
62,7
62,8
62,8
65,6
65,3
65,7
66,3
70,6
70,4
72,3
72,3
72,4
72,5
72,5
74,0
74,3
74,4
74,6
75,2
75,5
75,8
75,2
75,2
78,11
78,8
79,5
80,5
80,5
80,5
80,5
81,2
81,8
82,4
82,4
82,5
82,5
82,7
82,6
83,3
83,4
83,6
83,5
83,6
84,4
84,5
85,1
85,3
85,4
85,4
85,4
85,6
85,6
85,6
85,8
85,9
85,9
85,3
85,4
85,5
85,4
85,15
85,7
85,7
85,6
18,0
21,0
22,0
45,10
45,10
49,4
50,3
53,3
54,5
54,5
54,11
54,6
54,2
56,4
57,9
58,2
58,4
60,3
60,8
61,4
61,6
62,6
62,6
64,3
64,7
65,2
65,6
65,3
65,2
66,3
67,5
67,5
67,4
68,5
70,2
70,5
72,4
72,4
73,4
73,8
73,4
74,4
75,3
75,2
75,6
77,2
77,3
77,5
77,6
77,6
77,5
77,5
78,3
79,4
79,5
80,4
81,3
81,6
81,2
81,7
81,6
82,4
82,8
82,2
82,5
84,1
84,5
84,6
84,9
84,3
84,2
84,4
84,2
84,3
84,4
22,0
44,10
45,1
46,7
47,2
48,2
49,3
53,3
55,1
56,6
57,1
57,2
58,4
58,6
60,8
61,4
61,0
61,10
62,2
63,1
64,4
64,4
65,6
65,5
65,12
65,7
65,9
66,10
67,3
69,7
69,11
70,9
70,2
72,6
72,6
72,5
73,8
73,9
74,7
75,3
75,7
75,4
75,6
75,2
75,5
76,4
76,5
76,5
76,10
77,4
78,4
80,3
81,8
81,10
81,5
82,4
82,4
82,4
82,5
82,4
83,2
83,5
83,6
83,7
83,9
83,18
83,0
83,3
83,4
83,4
83,2
83,3
83,11
83,3
83,3
83,2
83,10
83,5
83,14
83,8
83,3
83,6
83,6
40,5
46,2
46,5
47,5
47,3
48,5
50,8
53,2
54,2
54,8
57,5
58,2
60,3
60,3
60,2
62,3
62,5
62,7
62,2
62,3
63,4
64,3
64,3
65,1
65,3
66,3
66,1
67,0
67,8
67,5
68,3
68,5
68,7
68,8
68,2
69,2
69,7
70,4
71,2
71,9
71,10
72,1
72,8
73,8
73,8
73,7
74,4
74,10
74,4
75,6
76,6
76,6
77,3
78,6
78,6
78,6
80,3
80,5
80,6
80,6
80,6
80,5
80,3
81,7
81,9
82,0
82,2
82,4
82,4
82,4
82,4
82,5
82,4
82,5
82,6
82,7
82,0
82,4
82,6
82,2
82,2
82,5
82,6
82,4
82,3
82,4
82,4
23,8
30,4
40,3
46,4
50,3
50,2
50,3
51,2
52,4
53,8
55,5
56,5
58,3
59,4
59,6
61,5
61,2
61,12
64,5
66,3
69,2
69,5
69,1
71,3
72,10
72,6
73,5
74,9
75,3
75,12
76,10
76,7
77,5
78,3
78,5
78,10
78,3
78,5
78,5
79,6
79,10
80,2
80,2
80,4
80,5
80,6
80,7
81,2
81,2
81,3
81,3
81,4
81,4
81,4
81,5
81,5
81,5
81,6
81,7
81,7
81,8
81,10
81,2
81,0
81,5
81,4
81,2
81,3
81,4
81,1
81,4
81,0
81,6
81,4
20,0
23,3
42,6
44,3
45,1
48,4
49,6
50,0
50,0
51,9
51,9
51,4
53,6
55,3
55,4
55,10
56,6
56,4
57,5
58,3
58,3
58,8
59,4
60,3
60,3
60,6
62,2
63,3
64,3
64,4
64,5
65,5
65,5
65,2
65,5
67,3
68,4
68,4
68,2
68,3
69,2
69,7
69,1
70,5
70,5
70,6
71,4
72,5
72,9
72,5
73,6
73,7
73,4
74,1
74,3
74,5
75,4
75,5
75,0
76,10
76,6
76,2
76,8
77,2
77,4
77,5
77,5
77,1
77,0
77,10
78,2
78,2
78,4
78,5
78,11
79,2
79,2
79,4
79,4
79,4
79,2
79,3
79,3
80,2
80,2
80,2
80,2
80,2
80,2
80,3
80,4
80,3
80,3
80,3
80,4
80,4
80,4
80,4
80,4
80,4
80,4
80,6
80,7
80,10
80,3
80,4
80,3
80,5
80,2
80,4
80,4
80,4
80,4
80,4
80,4
80,2
80,4
80,3
80,3
80,5
80,4
80,2
80,2
80,10
