age,rs
84,3
84,3
84,4
82,4
82,7
81,8
77,7
77,4
76,10
75,7
70,0
69,0
67,7
67,7
67,3
67,9
67,6
67,1
65,0
64,8
64,4
63,12
62,8
62,9
62,8
61,10
61,0
60,9
60,11
60,5
60,6
60,3
59,0
58,5
58,10
57,12
57,8
57,1
56,4
56,9
56,7
55,2
55,7
55,6
55,5
55,4
54,11
54,8
54,5
54,8
54,4
54,0
53,1
53,1
53,6
53,5
52,9
52,10
52,7
52,3
51,7
51,1
51,0
51,8
51,8
50,1
50,8
50,6
50,1
49,4
49,11
49,4
49,13
49,1
49,10
49,7
49,0
49,0
49,0
48,0
47,4
47,9
47,0
47,6
46,5
45,5
45,2
45,3
44,5
44,8
43,7
43,6
43,9
43,0
42,3
42,5
42,4
42,2
42,6
41,7
41,2
41,7
41,5
40,4
40,6
40,5
40,7
40,0
39,6
38,0
37,1
37,7
37,1
36,0
35,4
35,5
35,7
35,4
34,4
34,4
34,2
34,0
34,2
33,2
33,5
33,5
33,5
33,0
33,3
32,6
32,1
31,2
31,3
31,2
31,1
31,1
30,1
29,0
29,4
29,2
29,2
29,2
29,2
28,2
28,3
28,1
28,1
27,4
27,2
27,2
27,3
27,1
27,0
26,1
26,4
26,1
26,0
26,0
26,1
25,3
25,1
25,3
25,2
25,2
24,1
24,3
23,1
23,1
23,2
23,2
23,1
23,2
23,0
22,1
22,0
21,1
20,2
19,1
